"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,0.301125778375897
0.36,0.309210304213743
0.72,0.317390642519413
1.08,0.32566669772821
1.44,0.334038377248796
1.8,0.342505591463188
2.16,0.351068253726757
2.52,0.359726280368229
2.88,0.36847959068969
3.24,0.377328106966576
3.6,0.386271754447679
3.96,0.395310461355151
4.32,0.404444158884493
4.68,0.413672781204566
5.04,0.422996265457585
5.4,0.432414551759121
5.76,0.441927583198099
6.12,0.451535305836802
6.48,0.461237668710864
6.84,0.471034623829278
7.2,0.480926126174392
7.56,0.490912133701909
7.92,0.500992607340886
8.28,0.511167510993738
8.64,0.521436811536234
9,0.531800478817497
9.36,0.542258485660009
9.72,0.552810807859604
10.08,0.563457424185472
10.44,0.57419831638016
10.8,0.585033469159571
11.16,0.595962870212958
11.52,0.606986510202938
11.88,0.618104382765476
12.24,0.629316484509895
12.6,0.640622815018874
12.96,0.652023376848449
13.32,0.663518175528004
13.68,0.67510721956029
14.04,0.686790520421401
14.4,0.6985680925608
14.76,0.710439953401291
15.12,0.722406123339045
15.48,0.734466625743579
15.84,0.746621486957776
16.2,0.758870736297864
16.56,0.771214406053432
16.92,0.783652531487426
17.28,0.796185150836142
17.64,0.808812305309234
18,0.82743267836172
18.36,0.849309008416011
18.72,0.87114949152721
19.08,0.892953831754907
19.44,0.914721767273564
19.8,0.936453070372525
20.16,0.958147547456003
20.52,0.979805039043101
20.88,1.00142541976779
21.24,1.02300859837892
21.6,1.04455451774023
21.96,1.06606315483033
22.32,1.0875345207427
22.68,1.1089686606857
23.04,1.13036565398258
23.4,1.15260651537665
23.76,1.17586969596288
24.12,1.19988890412591
24.48,1.224662793456
24.84,1.25019025477654
25.2,1.27647041614404
25.56,1.30350264284815
25.92,1.33128653741162
26.28,1.35982193959035
26.64,1.38910892637334
27,1.41914781198272
27.36,1.44993914787373
27.72,1.48148372273478
28.08,1.51378256248734
28.44,1.54683693028604
28.8,1.58055230093485
29.16,1.61459016300526
29.52,1.64892370679733
29.88,1.68355205821016
30.24,1.71847461578326
30.6,1.75369105069648
30.96,1.78920130677009
31.32,1.82500560046474
31.68,1.86110442088146
32.04,1.89749852976168
32.4,1.93418896148719
32.76,1.97117702308019
33.12,2.00846429420325
33.48,2.04605262715935
33.84,2.08394414689182
34.2,2.13501303486007
34.56,2.1897794318142
34.92,2.24502698784242
35.28,2.3007554035947
35.64,2.35696439685925
36,2.41365370256245
36.36,2.47082307276885
36.72,2.52847227668118
37.08,2.58660110064036
37.44,2.6452093481255
37.8,2.70429683975389
38.16,2.763863413281
38.52,2.82390892360047
38.88,2.88443324274416
39.24,2.94543625988207
39.6,3.00691788132241
39.96,3.07857109022005
40.32,3.15675455842645
40.68,3.23649155625131
41.04,3.31778412856482
41.4,3.40063446662076
41.76,3.48504490805668
42.12,3.57101793689375
42.48,3.65855618353687
42.84,3.74766242477461
43.2,3.8383395837792
43.56,3.93059073010657
43.92,4.02441907969637
44.28,4.11982799487187
44.64,4.21682098434005
