"Distance [mm]","Mag_H [kA_per_meter] - Freq='1MHz' Phase='0deg'"
0,3.30335067360858
0.285,3.30110559447534
0.57,3.29888373775613
0.855,3.29668509829278
1.14,3.29450967112354
1.425,3.29235745148315
1.71,3.29022843480281
1.995,3.28812261671014
2.28,3.28603999302929
2.565,3.28398055978082
2.85,3.28194431318178
3.135,3.27993124964568
3.42,3.27794136578248
3.705,3.27597465839863
3.99,3.27403112449701
4.275,3.27211076127697
4.56,3.27021356613435
4.845,3.26833953666142
5.13,3.26648867064694
5.415,3.26466096607612
5.7,3.26285642113062
5.985,3.26107503418859
6.27,3.25931680382461
6.555,3.25758492151962
6.84,3.25599682811673
7.125,3.25431728362701
7.41,3.2525464406062
7.695,3.25068445485392
7.98,3.2487314854137
8.265,3.24668769457293
8.55,3.24455324786286
8.835,3.24232831405867
9.12,3.24001306517937
9.405,3.23760767648788
9.69,3.23511232649099
9.975,3.23252719693937
10.26,3.22985247282756
10.545,3.227088342394
10.83,3.22423499712099
11.115,3.22129263173473
11.4,3.2200801293195
11.685,3.22523222041853
11.97,3.23029684597894
12.255,3.23527408908941
12.54,3.24016403765759
12.825,3.24496678441011
13.11,3.24968242689252
13.395,3.25431106746934
13.68,3.25885281332403
13.965,3.26330777645903
14.25,3.26767607369572
14.535,3.27195782667444
14.82,3.27615316185445
15.105,3.28026221051403
15.39,3.28428510875035
15.675,3.28822199747957
15.96,3.29207302243681
16.245,3.2958383341761
16.53,3.29947346504495
16.815,3.30381824871912
17.1,3.30913925312663
17.385,3.31543630739111
17.67,3.32270924722809
17.955,3.330957914945
18.24,3.34018215944112
18.525,3.35038183620766
18.81,3.3615568073277
19.095,3.37370694147618
19.38,3.38683211391999
19.665,3.40093220651784
19.95,3.41600710772038
20.235,3.43205671257012
20.52,3.44908092270144
20.805,3.46707964634067
21.09,3.48605279830595
21.375,3.50600030000736
21.66,3.52692207944685
21.945,3.54608519390085
22.23,3.5604939765512
22.515,3.57531369864613
22.8,3.59054468439338
23.085,3.60618714102982
23.37,3.62224115882144
23.655,3.63870671106345
23.94,3.65558365408013
24.225,3.67287172722497
24.51,3.69057055288058
24.795,3.70867963645873
25.08,3.72719836640035
25.365,3.74612601417549
25.65,3.76546173428337
25.935,3.78520456425237
26.22,3.80535342464
26.505,3.82590711903293
