"Distance [mm]","Mag_H [kA_per_meter] - Freq='1MHz' Phase='0deg'"
0,6.44893170996666
0.36,6.4947578465624
0.72,6.54106064958416
1.08,6.58784007050533
1.44,6.63509606447617
1.8,6.68282859032381
2.16,6.73103761055228
2.52,6.77972309134251
2.88,6.82888500255234
3.24,6.87852331771645
3.6,6.92863801404648
3.96,6.9792290724309
4.32,7.03029647743508
4.68,7.08184021730133
5.04,7.13386028394879
5.4,7.18635667297352
5.76,7.23932938364846
6.12,7.29277841892347
6.48,7.34670378542528
6.84,7.40110549345748
7.2,7.4559835570006
7.56,7.51133799371207
7.92,7.56716882492615
8.28,7.62024024482653
8.64,7.6735511183771
9,7.72769419584344
9.36,7.78266950039687
9.72,7.83847705190954
10.08,7.8951168669544
10.44,7.95258895880521
10.8,8.01089333743653
11.16,8.07003000952373
11.52,8.12999897844301
11.88,8.19080024427136
12.24,8.25243380378659
12.6,8.31489965046731
12.96,8.37819777449294
13.32,8.44232816274373
13.68,8.50729079880071
14.04,8.57308566294576
14.4,8.6397127321615
14.76,8.70717198013143
15.12,8.77546337723982
15.48,8.84458689057178
15.84,8.91454248391319
16.2,8.98533011775077
16.56,9.05694974927205
16.92,9.12940133236533
17.28,9.20268481761978
17.64,9.27680015232533
18,9.35174728047276
18.36,9.42752614275361
18.72,9.50413667656028
19.08,9.58157881598594
19.44,9.65985249182459
19.8,9.73895763157104
20.16,9.81889415942091
20.52,9.89966199627061
20.88,9.98148373087707
21.24,10.0850554687135
21.6,10.1899338023628
21.96,10.2961176978035
22.32,10.4036061314098
22.68,10.5123980899524
23.04,10.6224925705979
23.4,10.7338885809091
23.76,10.8465851388449
24.12,10.9605812727603
24.48,11.0758760214064
24.84,11.1924684339304
25.2,11.3103575698759
25.56,11.4295424991821
25.92,11.5500223021848
26.28,11.6717960696156
26.64,11.7948629026024
27,11.9192219126691
27.36,12.0448722217359
27.72,12.1718129621188
28.08,12.3000432765302
28.44,12.4295623180786
28.8,12.5603692502683
29.16,12.6924632470002
29.52,12.825843492571
29.88,12.9605091816736
30.24,13.096459519397
30.6,13.2379766241907
30.96,13.3923198400776
31.32,13.547702885042
31.68,13.7041253463374
32.04,13.8615868135845
32.4,14.0200868787716
32.76,14.1796251362544
33.12,14.3402011827561
33.48,14.5018146173673
33.84,14.6644650415462
34.2,14.8542844387721
34.56,15.0552951127899
34.92,15.259138561836
35.28,15.4658224122279
35.64,15.6753542756106
36,15.8877417489562
36.36,16.1029924145645
36.72,16.321113840062
37.08,16.542113578403
37.44,16.7659991678691
37.8,16.9927781320689
38.16,17.2224579799385
38.52,17.4550462057413
38.88,17.6905502890683
39.24,17.9289776948372
39.6,18.1703358732935
39.96,18.4146322600099
40.32,18.6618742758864
40.68,18.9120693271501
41.04,19.1652248053559
41.4,19.4213480873856
41.76,19.6804465354485
42.12,19.9425274970811
42.48,20.2075983051472
42.84,20.4756662778382
43.2,20.7467387186724
43.56,21.0208229164957
43.92,21.3029646024902
44.28,21.5962725651111
44.64,21.8954423939041
45,22.2004946798958
45.36,22.6125522535503
45.72,23.1341451400282
46.08,23.6472107730371
46.44,24.1517029799604
46.8,24.647579005547
47.16,25.1347995119109
47.52,25.6133285785322
47.88,26.083133702256
48.24,26.5441857972931
48.6,26.9964591952196
48.96,27.4399316449773
49.32,27.8745843128732
49.68,28.4229789515395
50.04,29.0368885260107
50.4,29.6586486397287
50.76,30.2895598799593
51.12,31.1103577987159
51.48,32.2562406635778
51.84,33.4732703361124
52.2,34.7615367832071
52.56,36.1211376464063
52.92,37.5521782419105
53.28,39.0547715605774
53.64,40.6290382679206
54,42.2751067041108
54.36,43.9931128839751
54.72,45.7832004969971
