"Distance [mm]","Mag_H [kA_per_meter] - Freq='1MHz' Phase='0deg'"
0,0.93222051251325
0.36,0.930988664700907
0.72,0.929784310450575
1.08,0.928608555182935
1.44,0.927462502767977
1.8,0.926347255524986
2.16,0.925263914222547
2.52,0.924213578078549
2.88,0.923197344760172
3.24,0.922216310383907
3.6,0.921271569515533
3.96,0.920364215170135
4.32,0.91454409358434
4.68,0.908307697453207
5.04,0.901998320847668
5.4,0.895615706435571
5.76,0.8891596105863
6.12,0.88262980337077
6.48,0.876026068561425
6.84,0.869348203632245
7.2,0.862596019758739
7.56,0.855769341817948
7.92,0.848868008388446
8.28,0.841891871750339
8.64,0.834840797885262
9,0.827714666476387
9.36,0.820513370908411
9.72,0.813236818267568
10.08,0.805884929341622
10.44,0.79845763861987
10.8,0.790954894293137
11.16,0.783376658253786
11.52,0.775722906095704
11.88,0.767993627114321
12.24,0.760188824306584
12.6,0.752308514370985
12.96,0.744352727707539
13.32,0.736321508417799
13.68,0.728214914304847
14.04,0.720033016873294
14.4,0.711844137580513
14.76,0.706691013577048
15.12,0.701373167846438
15.48,0.695926576747972
15.84,0.690388976883402
16.2,0.684799865096949
16.56,0.679200498475303
16.92,0.673633894347619
17.28,0.668144830285522
17.64,0.662779844103103
18,0.657587233856919
18.36,0.652617057846
18.72,0.648615891625089
19.08,0.638898386257701
19.44,0.624059474357417
19.8,0.605260235331008
20.16,0.583576191718924
20.52,0.559997309195281
20.88,0.535427996567888
21.24,0.510687105778214
21.6,0.486507931901416
21.96,0.463538213146316
22.32,0.442340130855425
22.68,0.423390309504919
23.04,0.407079816704658
23.4,0.393714163198171
23.76,0.383513302862672
24.12,0.376611632709041
24.48,0.373057992881845
24.84,0.372815666659318
25.2,0.384763178356887
25.56,0.419894356475599
25.92,0.459215670586117
26.28,0.502419174684047
26.64,0.549204766719117
27,0.599280188595239
27.36,0.65236102617044
27.72,0.708170709256923
28.08,0.766440511621023
28.44,0.82690955098325
28.8,0.889324789018236
29.16,0.953441031354777
29.52,1.01902092757582
29.88,1.08583497121846
30.24,1.15366149977394
