"Distance [mm]","Mag_H [kA_per_meter] - Freq='1MHz' Phase='0deg'"
0,8.45867682190552
0.36,8.46361060081507
0.72,8.46856055959444
1.08,8.47352676625146
1.44,8.47850928893471
1.8,8.48350819593375
2.16,8.48852355567894
2.52,8.49355543674156
2.88,8.49860390783376
3.24,8.50366903780862
3.6,8.50875089566
3.96,8.51138210566315
4.32,8.51164089156177
4.68,8.5119092307828
5.04,8.51218712070266
5.4,8.51247455979517
5.76,8.51277154763163
6.12,8.5130780848808
6.48,8.51339417330889
6.84,8.5137198157796
7.2,8.51405501625405
7.56,8.51439977979083
7.92,8.514754112546
8.28,8.51511802177304
8.64,8.51549151582295
9,8.51587460414414
9.36,8.51626729728249
9.72,8.51666960688134
10.08,8.5170815456815
10.44,8.51750312752123
10.8,8.51793436733623
11.16,8.51837528115968
11.52,8.51882588612222
11.88,8.51928620045193
12.24,8.51975624347437
12.6,8.52023603561255
12.96,8.52072559838692
13.32,8.5212249544154
13.68,8.5217341274134
14.04,8.52225314219374
14.4,8.52199711216844
14.76,8.52100546408496
15.12,8.51960271695978
15.48,8.51778871380413
15.84,8.51556330802388
16.2,8.5129263634196
16.56,8.50987775418654
16.92,8.50641736491458
17.28,8.50254509058832
17.64,8.49826083658702
18,8.4935645186846
18.36,8.48788594303501
18.72,8.47542126911112
19.08,8.46267012657415
19.44,8.44963258606311
19.8,8.43630872129652
20.16,8.42269860907236
20.52,8.40880232926814
20.88,8.39461996484085
21.24,8.38015160182697
21.6,8.3653973293425
21.96,8.3503572395829
22.32,8.33503142782316
22.68,8.31941999241774
23.04,8.30352303480062
23.4,8.28734065948525
23.76,8.2708729740646
24.12,8.25412008921112
24.48,8.23708211867675
24.84,8.20935328424754
25.2,8.18112574889513
25.56,8.15258604145447
25.92,8.12373834100121
26.28,8.09458703306043
26.64,8.06513670960674
27,8.03539216906414
27.36,8.00535841630617
27.72,7.97504066265577
28.08,7.94444432588537
28.44,7.91357503021688
28.8,7.88243860632167
29.16,7.85104109132054
29.52,7.81938872878382
29.88,7.78748796873125
30.24,7.75534546763205
30.6,7.72296808840492
30.96,7.69036290041803
31.32,7.65753717948897
31.68,7.62449840788486
32.04,7.57319704629378
32.4,7.51855977497571
32.76,7.46379668877232
33.12,7.40890875173901
33.48,7.35389695507138
33.84,7.29876231710533
34.2,7.24350588331701
34.56,7.18812872632282
34.92,7.13263194587943
35.28,7.07701666888376
35.64,7.02128404937299
36,6.96543526852454
36.36,6.90947153465612
36.72,6.85339408322569
37.08,6.79720417683147
37.44,6.74090310521188
37.8,6.68449218524572
38.16,6.62618072231083
38.52,6.5550525173155
38.88,6.48344897103354
39.24,6.41135190715872
39.6,6.33874342334897
39.96,6.26560589122639
40.32,6.1919219563772
40.68,6.1176745383518
41.04,6.04284683066474
41.4,5.96742230079471
41.76,5.89138469018457
42.12,5.81756152606077
42.48,5.74479817533585
42.84,5.67197345821149
43.2,5.59907651284023
43.56,5.52609670207986
43.92,5.45302361349337
44.28,5.37984705934892
44.64,5.30655707661992
45,5.23314392698496
45.36,5.15959809682784
45.72,5.0859102972376
46.08,5.01207146400845
46.44,4.93807275763982
46.8,4.86404307014309
47.16,4.83518239709834
47.52,4.80863604861063
47.88,4.78440845437978
48.24,4.76250416640337
48.6,4.74292785897673
48.96,4.72093262394838
49.32,4.68846263855275
49.68,4.6609890530851
50.04,4.63865624499244
50.4,4.62160971748784
50.76,4.60999609955048
51.12,4.60396314592557
51.48,4.60365973712446
51.84,4.6092358794245
52.2,4.62084270486917
52.56,4.63863247126804
52.92,4.66275856219667
53.28,4.69337548699681
53.64,4.7306388807762
54,4.77470550440868
54.36,4.82307801807249
54.72,4.92206418347015
55.08,5.08617137828745
55.44,5.31378120144275
55.8,5.60363676526403
56.16,5.95484269548882
56.52,6.36686513126428
56.88,6.83953172514708
57.24,7.3730316431036
57.6,7.96791556450969
57.96,8.62509568215089
58.32,9.41773809954623
58.68,7.96832033251851
59.04,6.44788519349487
59.4,5.05319100240339
59.76,3.93718967262855
60.12,3.20902671101062
60.48,2.93404121784598
60.84,3.13376588688705
61.2,3.78592700534227
61.56,4.82444445387611
61.92,6.13943170660905
62.28,3.87890465582271
62.64,3.18972545654162
63,3.61213206557472
63.36,3.46819953411436
63.72,3.7577037224142
64.08,4.37128623678064
64.44,5.21289665494012
64.8,6.2041336148485
65.16,7.28424481469112
65.52,8.41012701288268
65.88,9.55632602806739
66.24,10.7150367391188
