"Distance [mm]","Mag_H [kA_per_meter] - Freq='1MHz' Phase='0deg'"
0,3.51577643460737
0.36,3.515192961939
0.72,3.51463436717315
1.08,3.51410072863339
1.44,3.51359212531228
1.8,3.51310863687137
2.16,3.51265034364119
2.52,3.51221732662121
2.88,3.51117338825536
3.24,3.50960271136909
3.6,3.50803532069898
3.96,3.50647121664943
4.32,3.50491039962642
4.68,3.50335287003751
5.04,3.50179862829179
5.4,3.50024767479999
5.76,3.49870000997434
6.12,3.49715563422866
6.48,3.49561454797836
6.84,3.49407675164041
7.2,3.49254224563334
7.56,3.49101103037726
7.92,3.48948310629384
8.28,3.48795847380633
8.64,3.48643713333954
9,3.48491908531987
9.36,3.48340433017525
9.72,3.48189286833522
10.08,3.48038470023088
10.44,3.47887982629488
10.8,3.47737824696145
11.16,3.4758799626664
11.52,3.47438497384711
11.88,3.47289328094252
12.24,3.47140488439313
12.6,3.46991978464103
12.96,3.46843798212987
13.32,3.46695947730487
13.68,3.46548427061282
14.04,3.46401236250209
14.4,3.4625437534226
14.76,3.46107844382585
15.12,3.45961643416492
15.48,3.45815772489443
15.84,3.45670231647061
16.2,3.45525020935122
16.56,3.45380140399563
16.92,3.45235590086473
17.28,3.45091370042104
17.64,3.44947480312859
18,3.44803920945302
18.36,3.44660691986152
18.72,3.44517793482286
19.08,3.44375225480738
19.44,3.44232988028698
19.8,3.44091081173515
20.16,3.43949504962691
20.52,3.4380825944389
20.88,3.43667344664928
21.24,3.43526760673782
21.6,3.43386507518585
21.96,3.43246585247625
22.32,3.43106993909349
22.68,3.4296773355236
23.04,3.42828804225418
23.4,3.42690205977442
23.76,3.42551938857504
24.12,3.42404707191662
24.48,3.4216189249036
24.84,3.41909499240647
25.2,3.41647519811386
25.56,3.41375946727099
25.92,3.41094772667966
26.28,3.40803990469827
26.64,3.40503593124179
27,3.40193573778177
27.36,3.39839701050963
27.72,3.39451511260594
28.08,3.39067075932935
28.44,3.38686392635212
28.8,3.38309458984669
29.16,3.37936272648565
29.52,3.37566831344177
29.88,3.37201132838797
30.24,3.36839174949732
30.6,3.36480955544309
30.96,3.36126472539869
31.32,3.35775723903768
31.68,3.3542870765338
32.04,3.35085421856096
32.4,3.34745864629322
32.76,3.34410034140479
33.12,3.34077928607007
33.48,3.33749546296361
33.84,3.33424885526012
34.2,3.33103944663448
34.56,3.32786722126172
34.92,3.32473216381706
35.28,3.32163425947584
35.64,3.3185734939136
36,3.31554985330603
36.36,3.31256332432897
36.72,3.30961389415846
37.08,3.30670155047066
37.44,3.30382628144192
37.8,3.30098807574873
38.16,3.29818692256776
38.52,3.29542281157586
38.88,3.29269573294999
39.24,3.29000567736733
39.6,3.28735263600517
39.96,3.28473660054102
40.32,3.2821575631525
40.68,3.27961551651744
41.04,3.27711045381379
41.4,3.27464236871968
41.76,3.2722112554134
42.12,3.26981710857342
42.48,3.26745992337836
42.84,3.26513969550699
43.2,3.26285642113827
43.56,3.26061009695129
43.92,3.25840072012533
44.28,3.25633876844656
44.64,3.2542263561622
45,3.25196828408677
45.36,3.24956486743165
45.72,3.24701642966657
46.08,3.24432330251969
46.44,3.24148582597752
46.8,3.23850434828499
47.16,3.2353792259454
47.52,3.23211082372044
47.88,3.22869951463019
48.24,3.22514567995314
48.6,3.22144970922613
48.96,3.22117205264073
49.32,3.22764215151703
49.68,3.23397275541162
50.04,3.24016403766448
50.4,3.24621618388393
50.76,3.25212939194651
51.12,3.25790387199704
51.48,3.26353984644863
51.84,3.26903754998264
52.2,3.27439722954872
52.56,3.27961914436476
52.92,3.28470356591696
53.28,3.28965077795977
53.64,3.2944610765159
54,3.2990729150493
54.36,3.30459351067693
54.72,3.31167168951137
55.08,3.320307111005
55.44,3.33049945139209
55.8,3.34224840368874
56.16,3.35555367769295
56.52,3.37041499998457
56.88,3.38683211392534
57.24,3.40480477965884
57.6,3.42433277411055
57.96,3.4454158909878
58.32,3.4680539407798
58.68,3.49224675075763
59.04,3.51799416497421
59.4,3.5438476606728
59.76,3.56203458899758
60.12,3.58087725307371
60.48,3.60037625049158
60.84,3.6205318810529
61.2,3.6413441467707
61.56,3.66281275186929
61.92,3.6849371027843
62.28,3.70771630816266
62.64,3.7311491788626
63,3.75523422795364
