"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,0.265566579346261
0.36,0.273973777493831
0.72,0.282498476693173
1.08,0.29114066386745
1.44,0.299900326168663
1.8,0.308777450977646
2.16,0.31777202590407
2.52,0.326884038786439
2.88,0.336113477692092
3.24,0.345460330917206
3.6,0.354924586986788
3.96,0.364506234654684
4.32,0.374205262903572
4.68,0.384021660944968
5.04,0.393955418219221
5.4,0.404006524395516
5.76,0.414174969371871
6.12,0.424460743275141
6.48,0.434863836461015
6.84,0.445384239514019
7.2,0.456021943247509
7.56,0.46677693870368
7.92,0.477649217153563
8.28,0.488638770097021
8.64,0.499745589262751
9,0.51096966660829
9.36,0.522310994320007
9.72,0.533769564813102
10.08,0.545345370731617
10.44,0.557038404948425
10.8,0.568848660565235
11.16,0.580776130912589
11.52,0.592820809549868
11.88,0.604982690265284
12.24,0.617261767075887
12.6,0.629658034227557
12.96,0.642171486195018
13.32,0.654802117681818
13.68,0.667549923620349
14.04,0.680414899171831
14.4,0.693397039726327
14.76,0.706496340902725
15.12,0.719712798548757
15.48,0.733046408740983
15.84,0.746497167784806
16.2,0.760065072214455
16.56,0.773750118792997
16.92,0.787552304512339
17.28,0.801471626593213
17.64,0.815508082485198
18,0.829661669866699
18.36,0.84393238664496
18.72,0.858320230956056
19.08,0.872825201164903
19.44,0.887447295865246
19.8,0.90218651387967
20.16,0.91704285425959
20.52,0.932016316285262
20.88,0.947106899465767
21.24,0.962314603539034
21.6,0.977639428471818
21.96,0.993081374459711
22.32,1.00864044192714
22.68,1.02431663152737
23.04,1.04010994414249
23.4,1.05602038088345
23.76,1.07204794308999
24.12,1.08819263233074
24.48,1.10445445040312
24.84,1.1208333993334
25.2,1.1373294813767
25.56,1.15394269901695
25.92,1.17067305496694
26.28,1.18752055216827
26.64,1.20448519379139
27,1.22156698323558
27.36,1.23876592412896
27.72,1.25799388956726
28.08,1.28832740245342
28.44,1.31874182641897
28.8,1.34922985020865
29.16,1.3797847880543
29.52,1.41040057967486
29.88,1.44107179027638
30.24,1.471793610552
30.6,1.50256185668199
30.96,1.53337297033368
31.32,1.56422401866154
31.68,1.59511269430711
32.04,1.62603731539906
32.4,1.65699682555313
32.76,1.6879907938722
33.12,1.71901941494622
33.48,1.75008350885226
33.84,1.78118452115448
34.2,1.81232452290414
34.56,1.84496405560031
34.92,1.87816574226403
35.28,1.91188834625572
35.64,1.9461309445845
36,1.98089277291795
36.36,2.01617322558208
36.72,2.05197185556135
37.08,2.08828837449866
37.44,2.12512265269537
37.8,2.16247471911128
38.16,2.20034476136465
38.52,2.23873312573217
38.88,2.27764031714898
39.24,2.31706699920869
39.6,2.35701399416332
39.96,2.39748228292335
40.32,2.43847300505774
40.68,2.47998745879385
41.04,2.52526577215186
41.4,2.57228882854962
41.76,2.62022560235643
42.12,2.669072287129
42.48,2.71882555568217
42.84,2.769482560089
43.2,2.8210409316807
43.56,2.87349878104664
43.92,2.92685469803441
44.28,2.98110775174971
44.64,3.03625749055646
