"Distance [mm]","Mag_H [kA_per_meter] - Freq='1MHz' Phase='0deg'"
0,0.162232479788202
0.36,0.167706410786036
0.72,0.173274229118305
1.08,0.178934633638155
1.44,0.184686433472341
1.8,0.190528548021221
2.16,0.196460006958762
2.52,0.202479950232534
2.88,0.20920251113562
3.24,0.216310132264658
3.6,0.223546553199087
3.96,0.230910299320603
4.32,0.23839990866709
4.68,0.246013931932624
5.04,0.253750932467465
5.4,0.261609486278066
5.76,0.269588182027067
6.12,0.277685621033297
6.48,0.285900417271776
6.84,0.294231197373709
7.2,0.302676600626494
7.56,0.311235278973714
7.92,0.319905897015145
8.28,0.328687132006749
8.64,0.337577673860678
9,0.346576225145273
9.36,0.355681501085065
9.72,0.364892229560769
10.08,0.374207151109297
10.44,0.383625018923742
10.8,0.393144598853392
11.16,0.402764669403718
11.52,0.412484021736388
11.88,0.42230145966925
12.24,0.432215799676348
12.6,0.442225870887911
12.96,0.452330515090358
13.32,0.462528586726296
13.68,0.472818952894525
14.04,0.483200493350025
14.4,0.493672100503978
14.76,0.504232679423743
15.12,0.514881147832872
15.48,0.52561643611111
15.84,0.536437487294385
16.2,0.547343257074817
16.56,0.558332713800713
16.92,0.569404838476574
17.28,0.58055862476308
17.64,0.591793078977113
18,0.603107220091732
18.36,0.614500079736193
18.72,0.625970702195933
19.08,0.637518144412588
19.44,0.649141475983977
19.8,0.660839779164108
20.16,0.672612148863176
20.52,0.684457692647571
20.88,0.696375530739867
21.24,0.711925866799494
21.6,0.728585825168068
21.96,0.745410371133692
22.32,0.762401551329701
22.68,0.77956148941713
23.04,0.796892386084702
23.4,0.814396519048848
23.76,0.832076243053684
24.12,0.84993398987103
24.48,0.86797226830039
24.84,0.886193664168979
25.2,0.904600840331691
25.56,0.923196536671132
25.92,0.941983570097589
26.28,0.960964834549056
26.64,0.983801720069691
27,1.01015297107579
27.36,1.03670793306275
27.72,1.06346543608051
28.08,1.09042431883288
28.44,1.11758342867757
28.8,1.14494162162615
29.16,1.17249776234406
29.52,1.20025072415065
29.88,1.22819938901914
30.24,1.25634264757661
30.6,1.28467939910403
30.96,1.31320855153627
31.32,1.34192902146206
31.68,1.37083973412401
32.04,1.39993962341861
32.4,1.42922763189625
32.76,1.45870271076116
33.12,1.48836381987148
33.48,1.51820992773923
33.84,1.5482400115303
34.2,1.57845305706446
