"Distance [mm]","Mag_H [kA_per_meter] - Freq='1MHz' Phase='0deg'"
0,10.4480489237017
0.36,10.4555710215235
0.72,10.4631199480364
1.08,10.4706958056707
1.44,10.4782986972602
1.8,10.4859287260419
2.16,10.4935859956562
2.52,10.5012706101468
2.88,10.5089826739607
3.24,10.5167222919484
3.6,10.5244895693636
3.96,10.5322846118632
4.32,10.5401075255077
4.68,10.5479584167608
5.04,10.5558373924896
5.4,10.5637445599645
5.76,10.571680026859
6.12,10.5796439012504
6.48,10.587636291619
6.84,10.5956573068486
7.2,10.6037070562261
7.56,10.6117856494419
7.92,10.6201088892747
8.28,10.6352896072684
8.64,10.6505061680598
9,10.6657585612651
9.36,10.6810467765969
9.72,10.6963708038636
10.08,10.71173063297
10.44,10.7271262539165
10.8,10.7425576567998
11.16,10.7580248318125
11.52,10.7735277692433
11.88,10.7890664594769
12.24,10.804640892994
12.6,10.8202510603714
12.96,10.835896952282
13.32,10.8515785594946
13.68,10.8672958728739
14.04,10.883048883381
14.4,10.8988375820727
14.76,10.9146619601019
15.12,10.9338352321608
15.48,10.9554806963946
15.84,10.9774841635936
16.2,10.999845636583
16.56,11.022565113242
16.92,11.0456425865036
17.28,11.0690780443552
17.64,11.092871469838
18,11.1170228410472
18.36,11.1415321311321
18.72,11.166399308296
19.08,11.1916243357961
19.44,11.2172071719439
19.8,11.2431477701046
20.16,11.2694460786976
20.52,11.2961020411963
20.88,11.3231155961281
21.24,11.3504866770745
21.6,11.3782152126708
21.96,11.4063011266066
22.32,11.4347443376252
22.68,11.4635447595243
23.04,11.4927023011552
23.4,11.5222168664237
23.76,11.5520883542891
24.12,11.5823166587651
24.48,11.6129016689193
24.84,11.6438432688733
25.2,11.6751413378027
25.56,11.7067957499372
25.92,11.7249938594518
26.28,11.7400550814049
26.64,11.7554141625126
27,11.7739587501359
27.36,11.8046584867348
27.72,11.8351486168933
28.08,11.8654465399825
28.44,11.9298712893659
28.8,12.0003229537378
29.16,12.0699887360175
29.52,12.1388681596593
29.88,12.2069607997588
30.24,12.2742662830528
30.6,12.3407842879197
30.96,12.406514544379
31.32,12.4714568340915
31.68,12.5356109903595
32.04,12.5989768981264
32.4,12.6615544939771
32.76,12.7233437661377
33.12,12.7843447544756
33.48,12.8445575504996
33.84,12.9039822973598
34.2,12.9626191898475
34.56,13.0204684743956
34.92,13.077530449078
35.28,13.14364403042
35.64,13.2272764401502
36,13.3136053344071
36.36,13.4026859356974
36.72,13.494572177597
37.08,13.589316704751
37.44,13.6860488304715
37.8,13.7864666654775
38.16,13.8909617098513
38.52,13.9995575939431
38.88,14.1122769161158
39.24,14.2291412427444
39.6,14.3501711082163
39.96,14.4753860149315
40.32,14.6048044333023
40.68,14.7384438017534
41.04,14.8763205267219
41.4,15.0184499826572
41.76,15.1648465120214
42.12,15.3155234252887
42.48,15.4704930009458
42.84,15.6297664854918
43.2,15.7933540934383
43.56,15.9612650073091
43.92,16.1916608971237
44.28,16.4258892768454
44.64,16.6578039857044
45,16.8873991181983
45.36,17.1146691989261
45.72,17.3396091825877
46.08,17.5622144539843
46.44,17.7824808280185
46.8,17.998893500638
47.16,18.247129412755
47.52,18.5454484386057
47.88,18.8936699125568
48.24,19.2916377407243
48.6,19.7392204009738
48.96,20.2363109429203
49.32,20.7828269879284
49.68,21.3787107291124
50.04,22.0239289313356
50.4,22.7184729312113
50.76,23.4623586371019
51.12,24.2556265291199
51.48,25.0983416591265
51.84,25.9905936507333
52.2,26.9324966993004
52.56,27.9241895719385
52.92,28.9658356075067
