"Distance [mm]","Mag_H [kA_per_meter] - Freq='1MHz' Phase='0deg'"
0,7.39308063343815
0.36,7.42768687745028
0.72,7.46293869958678
1.08,7.49883589937799
1.44,7.53537828700492
1.8,7.5725656832993
2.16,7.61039791974356
2.52,7.64887483847082
2.88,7.68799629226489
3.24,7.72776214456031
3.6,7.7681722694423
3.96,7.80922655164675
4.32,7.85092488656032
4.68,7.89326718022028
5.04,7.93625334931467
5.4,7.97988332118218
5.76,8.02415703381224
6.12,8.06907443584495
6.48,8.11463548657111
6.84,8.16084015593224
7.2,8.20572126978196
7.56,8.24696344700463
7.92,8.28877689818502
8.28,8.33116246205088
8.64,8.37412095584722
9,8.41765317533627
9.36,8.46175989479741
9.72,8.50644186702733
10.08,8.55169982333984
10.44,8.59753447356604
10.8,8.64394650605421
11.16,8.69093658766983
11.52,8.73850536379562
11.88,8.7866534583315
12.24,8.83538147369462
12.6,8.88468999081933
12.96,8.9345795691572
13.32,8.985050746677
13.68,9.03610403986474
14.04,9.08773994372364
14.4,9.1399589317741
14.76,9.19276145605378
15.12,9.24614794711753
15.48,9.30011881403741
15.84,9.3546744444027
16.2,9.40981520431994
16.56,9.46554143841278
16.92,9.52185346982219
17.28,9.57875160020627
17.64,9.63623610974041
18,9.69430725711718
18.36,9.75296527954634
18.72,9.81221039275489
19.08,9.87204279098706
19.44,9.93246264700425
19.8,9.99347011208512
20.16,10.0550653160255
20.52,10.1172483671385
20.88,10.1892286349191
21.24,10.2785626158323
21.6,10.369154233322
21.96,10.4610023588955
22.32,10.5541058880845
22.68,10.6484637404447
23.04,10.7440748595557
23.4,10.8409382130215
23.76,10.9390527924702
24.12,11.0384176135539
24.48,11.1390317159488
24.84,11.2408941633554
25.2,11.344004043498
25.56,11.4483604681254
25.92,11.5539625730103
26.28,11.6608095179496
26.64,11.7689004867641
27,11.8782346872991
27.36,11.9888113514237
27.72,12.1006297350313
28.08,12.2136891180392
28.44,12.3279888043892
28.8,12.4435281220469
29.16,12.560306423002
29.52,12.6783230832686
29.88,12.7975775028845
30.24,12.9180691059122
30.6,13.0402707263854
30.96,13.1657745730438
31.32,13.2917615017349
31.68,13.4182313842573
32.04,13.5451841705201
32.4,13.7021994773498
32.76,13.8613047161567
33.12,14.0221798927395
33.48,14.1848056971451
33.84,14.3671298072114
34.2,14.5514605229678
34.56,14.7375295861745
34.92,14.9253409729284
35.28,15.1148985879033
35.64,15.3062062643503
36,15.4992677640977
36.36,15.6940867775512
36.72,15.8906669236933
37.08,16.0890117500842
37.44,16.2891247328608
37.8,16.4910092767377
38.16,16.6946687150064
38.52,16.9001063095356
38.88,17.1073252507713
39.24,17.3163286577367
39.6,17.5271195780323
39.96,17.7397009878355
40.32,17.9540757919013
40.68,18.1702468235616
41.04,18.3882168447256
41.4,18.6079885458798
41.76,18.8295645460879
42.12,19.0679544123403
42.48,19.3100219718651
42.84,19.5498869577435
43.2,19.7732463480823
43.56,20.0041516787201
43.92,20.4303176753715
44.28,20.8551475004596
44.64,21.2786783040461
45,21.700954769489
45.36,22.1220291134421
45.72,22.5419610858552
46.08,22.9608179699746
46.44,23.3786745823423
46.8,23.7956132727963
47.16,24.2117239244708
47.52,24.627103953796
47.88,25.0418583104981
48.24,25.4560994775996
48.6,25.8699474714186
48.96,26.2835298415699
49.32,26.7755099936358
49.68,27.3101489135661
50.04,27.8515781597487
50.4,28.4009554503312
50.76,29.3527722624394
51.12,30.4203647087594
51.48,31.540244084149
51.84,32.7122357363896
52.2,33.9362049654107
52.56,35.2120570232911
52.92,36.5397371142576
53.28,37.9192303946866
53.64,39.3505619731024
54,40.8337969101788
54.36,42.3690402187378
54.72,43.9564368637504
55.08,45.2227870953674
55.44,43.2466464522699
55.8,41.1630802910709
56.16,39.003765199255
56.52,36.7990225321888
56.88,34.5778184131208
57.24,32.3677637331808
57.6,30.1951141513813
57.96,28.0847700946156
58.32,26.0602767576597
58.68,24.1438241031709
59.04,22.3562468616887
59.4,20.7170245316339
59.76,19.2442813793096
60.12,17.9547864389007
60.48,16.8639535124736
60.84,15.9858411699768
61.2,15.3331527492405
61.56,14.9172363559768
61.92,14.7480848637796
62.28,14.8343359141246
62.64,15.1832719163693
63,15.8008200477531
63.36,16.6915522533972
63.72,17.8586852463045
64.08,19.30408050736
64.44,21.0282442853303
64.8,23.0303275968639
65.16,22.1291510649189
65.52,20.4003008026863
65.88,18.8675702807315
66.24,17.5894123026682
66.6,16.6102170472492
66.96,15.960312068366
67.32,15.655962295049
67.68,15.6993700314672
68.04,16.0786749569285
68.4,16.7679541258797
68.76,17.7272219679062
69.12,18.9024302877325
69.48,20.2254682652215
69.84,21.6141624553751
70.2,21.4023233167821
70.56,20.1930028969809
70.92,19.0940446148734
71.28,18.1470743498602
71.64,17.3854845157848
72,16.8344340609336
72.36,16.5108484680356
72.72,16.4234197542628
73.08,16.5726064712297
73.44,16.9572788856185
73.8,17.6067333357658
74.16,18.4031764471417
74.52,19.5050176046341
74.88,20.7962330901339
75.24,22.1999363352307
75.6,23.6331337671524
75.96,25.1544792369913
76.32,26.7490944977183
76.68,28.403852954233
77.04,30.1073796633632
77.4,31.8500513338657
77.76,33.6239963264254
78.12,35.4230946536558
78.48,37.2429779800992
78.84,39.0810296222261
79.2,40.9363845484356
79.56,42.8099293790556
79.92,44.704302386342
80.28,41.8211912255968
80.64,39.494437874419
81,37.2358166547911
81.36,35.0475214315244
81.72,32.9331578803273
82.08,30.8977434878047
82.44,28.947707551458
82.8,27.0908911796856
83.16,25.3365472917822
83.52,23.6953406179395
83.88,22.1793476992456
84.24,20.8020568876855
84.6,19.5783683461406
84.96,18.524594048389
85.32,18.6620129602031
85.68,19.8507563164467
86.04,21.1870802022571
86.4,22.6484508958333
86.76,24.2147008081014
87.12,25.8680284827141
87.48,27.5929985960509
87.84,29.3765419572179
88.2,31.2079555080482
88.56,33.0789023231018
88.92,34.983411609665
89.28,36.9178787077514
89.64,38.881065090101
90,40.8740983621807
90.36,43.0015255446823
90.72,45.145271416114
91.08,47.3037290887101
91.44,49.4754257707284
91.8,51.6590227664515
92.16,53.8533154761853
92.52,56.0572333962602
92.88,58.2698401190304
93.24,60.4903333328742
93.6,62.7180448221937
93.96,64.9524404674154
94.32,67.1931202449896
94.68,69.4398182273905
