"Distance [mm]","Mag_H [kA_per_meter] - Freq='1MHz' Phase='0deg'"
0,16.6485274586749
0.36,16.6589481654673
0.72,16.6694223151763
1.08,16.679949870136
1.44,16.6905307931316
1.8,16.7011650474002
2.16,16.7118525966302
2.52,16.7225934049615
2.88,16.7333874369856
3.24,16.7442346577456
3.6,16.7551350327357
3.96,16.7660885279021
4.32,16.7770951096423
4.68,16.788154744805
5.04,16.799267400691
5.4,16.8104330450521
5.76,16.8216516460919
6.12,16.8329231724654
6.48,16.8442475932791
6.84,16.8556248780911
7.2,16.8670549969107
7.56,16.8785379201992
7.92,16.8900736188689
8.28,16.9016620642841
8.64,16.918124377951
9,16.9346863608125
9.36,16.951257658331
9.72,16.9678382584341
10.08,16.9844281492661
10.44,17.0010273191877
10.8,17.0176357567764
11.16,17.0342534508262
11.52,17.0508803903477
11.88,17.0675165645681
12.24,17.0841619629311
12.6,17.1008165750973
12.96,17.1174803909435
13.32,17.1341534005634
13.68,17.1508355942671
14.04,17.1675269625815
14.4,17.1842274962498
14.76,17.2009371862322
15.12,17.2176560237051
15.48,17.2343840000616
15.84,17.2511211069117
16.2,17.2687984015378
16.56,17.2891089884402
16.92,17.3097518773696
17.28,17.3307270025718
17.64,17.3520342978888
18,17.3736736967588
18.36,17.3956451322164
18.72,17.4179485368924
19.08,17.440583843014
19.44,17.4635509824047
19.8,17.4868498864842
20.16,17.5104804862685
20.52,17.5344427123699
20.88,17.558736494997
21.24,17.5833617639548
21.6,17.6083184486444
21.96,17.6336064780633
22.32,17.6592257808053
22.68,17.6851762850605
23.04,17.7114579186152
23.4,17.7380706088522
23.76,17.7650142827502
24.12,17.7922888668846
24.48,17.8198942874269
24.84,17.847830470145
25.2,17.8760973404029
25.56,17.904694823161
25.92,17.9301476370339
26.28,17.9526707199777
26.64,17.9753231231108
27,17.9981060900917
27.36,18.0210208901661
27.72,18.0440688181666
28.08,18.0716240503489
28.44,18.1190264314723
28.8,18.1662513949639
29.16,18.2133010876193
29.52,18.2601777280348
29.88,18.3068836066078
30.24,18.3534210855366
30.6,18.3997925988208
30.96,18.4460006522607
31.32,18.4920478234578
31.68,18.5379367618146
32.04,18.5836701885344
32.4,18.6292508966218
32.76,18.6746817508822
33.12,18.7199656879222
33.48,18.7651057161493
33.84,18.8101049157719
34.2,18.8549664387997
34.56,18.8996935090431
34.92,18.9442894221138
35.28,18.9887575454243
35.64,19.0331013181882
36,19.07732425142
36.36,19.1214299279354
36.72,19.1654220023511
37.08,19.2250020961762
37.44,19.2935378618458
37.8,19.3631606067714
38.16,19.4338947790194
38.52,19.50633803638
38.88,19.5914405056321
39.24,19.6790509508029
39.6,19.7691738615817
39.96,19.8618135857985
40.32,19.9569743294234
40.68,20.0546601565671
41.04,20.1548749894807
41.4,20.2576226085554
41.76,20.3629066523232
42.12,20.4707306174562
42.48,20.581097858767
42.84,20.6940115892085
43.2,20.809474879874
43.56,20.9274906599973
43.92,21.0480617169525
44.28,21.1711906962541
44.64,21.296880101557
45,21.4056046302253
45.36,21.4749663634077
45.72,21.5820340556217
46.08,21.7267431659822
46.44,21.9090341898336
46.8,22.12885265875
47.16,22.3861491405351
47.52,22.6808792392225
47.88,23.0130035950752
48.24,23.3824878845862
48.6,23.7893028204778
48.96,24.2334241517024
49.32,24.7148326634417
49.68,25.2335141771075
50.04,25.7894595503409
50.4,26.3826646770126
50.76,27.0131304872234
51.12,27.6808629473038
51.48,28.3858730598133
51.84,29.128176863542
52.2,29.9077954335089
52.56,30.7247548809631
52.92,31.5790863533833
53.28,32.470826034478
53.64,33.4000151441851
54,34.3666999386723
54.36,35.3709317103371
54.72,36.4127667878066
55.08,39.7575382774031
55.44,37.2390675165268
55.8,34.7505706698908
56.16,32.2769989674406
56.52,29.8089406226151
56.88,27.342620832348
