"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,2.5717011945824
0.36,2.58743196676329
0.72,2.60333768353039
1.08,2.61941826000921
1.44,2.63567361085997
1.8,2.65210365027764
2.16,2.66870829199189
2.52,2.68548744926711
2.88,2.70244103490241
3.24,2.71956896123163
3.6,2.73687114012332
3.96,2.75434748298075
4.32,2.7719979007419
4.68,2.7898223038795
5.04,2.80782060240097
5.4,2.82599270584846
5.76,2.84433852329884
6.12,2.8628579633637
6.48,2.88155093418936
6.84,2.90041734345683
7.2,2.91945709838187
7.56,2.93867010571494
7.92,2.95805627174124
8.28,2.97761550228066
8.64,2.99734770268785
9,3.01725277785214
9.36,3.03733063219759
9.72,3.05758116968301
10.08,3.07800429380189
10.44,3.09859990758245
10.8,3.11936791358765
11.16,3.14030821391514
11.52,3.16142071019732
11.88,3.18270530360128
12.24,3.20364702233326
12.6,3.22390507542419
12.96,3.24446377397205
13.32,3.26532490203987
13.68,3.28649024963988
14.04,3.30796161273342
14.4,3.32974079323098
14.76,3.35182959899222
15.12,3.37422984382593
15.48,3.39694334749006
15.84,3.4199719356917
16.2,3.44331744008709
16.56,3.46698169828162
16.92,3.49096655382984
17.28,3.51527385623542
17.64,3.5399054609512
18,3.56486322937917
18.36,3.59014902887047
18.72,3.61576473272536
19.08,3.64171222019329
19.44,3.66799337647282
19.8,3.6946100927117
20.16,3.72156426600677
20.52,3.74885779940409
20.88,3.7764926018988
21.24,3.80386246935245
21.6,3.83112857736125
21.96,3.85846182813326
22.32,3.88586115904817
22.68,3.91332552880128
23.04,3.94085391740339
23.4,3.96844532618092
23.76,3.99609877777581
24.12,4.02381331614558
24.48,4.05158800656333
24.84,4.07942193561768
25.2,4.10731421121284
25.56,4.1352639625686
25.92,4.16327034022027
26.28,4.19133251601875
26.64,4.21944968313048
27,4.2476210560375
27.36,4.27584587053738
27.72,4.30412338374325
28.08,4.33245287408383
28.44,4.36083364130338
28.8,4.38926500646172
29.16,4.41774631193425
29.52,4.44627692141193
29.88,4.4744364573115
30.24,4.50003358479035
30.6,4.52566631305253
30.96,4.55133226023718
31.32,4.57702908623085
31.68,4.60275449266748
32.04,4.62850622292842
32.4,4.65428206214242
32.76,4.68007983718561
33.12,4.70589741668155
33.48,4.7317327110012
33.84,4.75758367226289
34.2,4.78344829433238
34.56,4.80932461282284
34.92,4.83521070509479
35.28,4.8611046902562
35.64,4.88700472916243
36,4.91290902441622
36.36,4.93881582036774
36.72,4.96472340311454
37.08,4.99063010050158
37.44,5.01653428212122
37.8,5.04243435931321
38.16,5.06832878516471
38.52,5.0942160545103
38.88,5.12009470393193
39.24,5.14596331175896
39.6,5.17182049806815
39.96,5.19766492468368
40.32,5.2234952951771
40.68,5.24931035486738
41.04,5.27510889082089
41.4,5.3008897318514
41.76,5.32665174852007
42.12,5.34308988822764
42.48,5.3609868638082
42.84,5.38103384664199
43.2,5.40323271590113
43.56,5.42758535128648
43.92,5.45409363302755
44.28,5.48275944188245
44.64,5.51358465913793
45,5.54657116660945
45.36,5.58172084664105
45.72,5.61903558210544
46.08,5.65851725640398
46.44,5.70016775346669
46.8,5.7439889577522
47.16,5.78998275424779
47.52,5.83815102846943
47.88,5.88849566646169
48.24,5.9410185547978
48.6,5.99572158057962
48.96,6.05260663143771
49.32,6.1116755955312
49.68,6.20744853272634
50.04,6.32040066396412
50.4,6.42431642612944
50.76,6.51934201775772
51.12,6.60568370772834
51.48,6.68360783526447
51.84,6.75344080993328
52.2,6.82225445010239
52.56,6.93107437704344
52.92,7.06531671937539
53.28,7.22509048198615
53.64,7.41047917027118
54,7.62154079013369
54.36,7.85264232979519
54.72,8.10549366555318
55.08,8.39660750591507
55.44,8.72664142510476
55.8,9.09621015717702
56.16,9.50588559601741
56.52,10.055758970167
56.88,10.77071388179
57.24,11.5296395980207
57.6,12.3310871939374
57.96,13.1739048428286
58.32,12.814118130185
58.68,11.6187353693719
59.04,10.4393818235263
59.4,9.27942794893009
59.76,8.14392697012766
60.12,7.07278643337074
60.48,6.116297875753
