"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,0.613122179775333
0.36,0.622079890343821
0.72,0.631080437368843
1.08,0.640123300661617
1.44,0.64920797343596
1.8,0.658333962308301
2.16,0.667500787297671
2.52,0.676707981825703
2.88,0.685955092716636
3.24,0.695241680197318
3.6,0.704567317897192
3.96,0.713931592848313
4.32,0.723334105485338
4.68,0.73277446964553
5.04,0.742252312568754
5.4,0.751767274897481
5.76,0.761319010676787
6.12,0.770907187354349
6.48,0.780531485780455
6.84,0.790191600207991
7.2,0.799887238292451
7.56,0.809618121091931
7.92,0.819383983067136
8.28,0.82918457208137
8.64,0.839019649400547
9,0.84888898969318
9.36,0.85879238103039
9.72,0.868729624885901
10.08,0.878700536136043
10.44,0.888704943059747
10.8,0.898742687338556
11.16,0.908813624056606
11.52,0.918917621700649
11.88,0.929054562160033
12.24,0.940925458988716
12.6,0.956014537352288
12.96,0.971242761971008
13.32,0.986606701783384
13.68,1.00210304729639
14.04,1.01772861058543
14.4,1.03348032529439
14.76,1.04935524663557
15.12,1.06535055138974
15.48,1.08146353790612
15.84,1.09769162610237
16.2,1.11403235746461
16.56,1.1304833950474
16.92,1.14704252347377
17.28,1.16370764893516
17.64,1.18047679919152
18,1.19734812357118
18.36,1.21431989297099
18.72,1.23139049985618
19.08,1.2485584582605
19.44,1.26582240378609
19.8,1.28318109360358
20.16,1.30063340645202
20.52,1.31817834263894
20.88,1.3358150240403
21.24,1.35586946679208
21.6,1.37698737434885
21.96,1.39841022349566
22.32,1.42014532333258
22.68,1.44219983839093
23.04,1.46458078863325
23.4,1.48729504945333
23.76,1.51034935167616
24.12,1.533750281558
24.48,1.55750428078631
24.84,1.58161764647979
25.2,1.60609653118836
25.56,1.63094694289321
25.92,1.6561747450067
26.28,1.68178565637247
26.64,1.70778525126537
27,1.73417895939149
27.36,1.76097206588813
27.72,1.78816971132384
28.08,1.81577689169841
28.44,1.84379845844283
28.8,1.87223911841934
29.16,1.90110343392142
29.52,1.93039582267375
29.88,1.96105861558824
30.24,1.99780731836199
30.6,2.03470918957873
30.96,2.0717860092191
31.32,2.10905945780616
31.68,2.14655111640536
32.04,2.18428246662454
32.4,2.22227489061397
32.76,2.26054967106628
33.12,2.29912799121653
33.48,2.33803093484218
33.84,2.37727948626306
34.2,2.41689453034144
34.56,2.45689685248197
34.92,2.4973071386317
35.28,2.53814597528008
35.64,2.57943384945896
36,2.6193189821854
36.36,2.65871576273364
36.72,2.69944361763051
37.08,2.74152543476794
37.44,2.78498282696031
37.8,2.82983613194442
38.16,2.87610441237953
38.52,2.92380545584733
38.88,2.97295577485196
39.24,3.02357060682
39.6,3.07566391410046
39.96,3.12924838396481
40.32,3.18433542860695
40.68,3.24093518514322
41.04,3.29905651561242
41.4,3.35870700697578
41.76,3.41989297111695
42.12,3.47666429356409
42.48,3.53420519874728
42.84,3.59293785759546
43.2,3.65289838958981
43.56,3.71412172284986
43.92,3.77664159413351
44.28,3.84049054883691
44.64,3.90569994099461
45,3.97229993327946
45.36,4.04031949700266
45.72,4.1097864121137
46.08,4.18072726720046
46.44,4.2531674594891
46.8,4.32713119484415
47.16,4.40264148776842
47.52,4.47972016140311
47.88,4.55838784752771
48.24,4.63866398656006
48.6,4.7205668275563
48.96,4.80411342821097
49.32,4.88931965485686
49.68,4.99484516876893
50.04,5.11678248244639
50.4,5.24241781579317
50.76,5.3715122005988
51.12,5.50384469905642
51.48,5.63921240376271
51.84,5.77743043771798
52.2,5.91663840301886
52.56,6.06269436011075
52.92,6.23060545977597
53.28,6.42073129394856
53.64,6.63339440043616
54,6.86888026292021
54.36,7.12724201287597
54.72,7.4144880712343
55.08,7.73440486263144
55.44,8.08726970891101
55.8,8.47330313006353
56.16,8.89266884422629
56.52,9.42847569375852
56.88,10.1487237215763
57.24,10.9653743971348
57.6,11.8726329188077
57.96,12.8667220764591
58.32,12.4008904477676
58.68,11.2185548772651
59.04,10.0532817448231
59.4,8.90882066591024
59.76,7.79084257966688
60.12,6.74040920497943
60.48,5.80820480629504
60.84,4.94224423235911
61.2,4.17042391830768
61.56,3.54052172311965
61.92,3.12019692961676
62.28,4.13344592967892
62.64,5.60270676436657
63,7.32209254546584
63.36,6.99664227648774
63.72,6.19724900219915
64.08,5.42136582820962
64.44,4.68809823309307
64.8,4.02735843619587
65.16,3.48525584445416
65.52,3.14283741860542
65.88,3.05372301066417
66.24,3.22758260813946
66.6,3.62944462827391
66.96,4.17969591804373
67.32,3.15489996959006
67.68,3.3615577043587
68.04,4.72548196940881
68.4,4.06239484018892
68.76,3.52454603307627
69.12,3.21145146684486
69.48,3.18453088703871
69.84,3.46710786597178
70.2,4.05712191739603
70.56,4.85911576093871
70.92,5.78632159160238
71.28,6.79054469668139
71.64,7.84238475215075
72,8.93123582266622
72.36,7.53718068620875
72.72,6.61916118798763
73.08,5.82671375668719
73.44,5.23372751184949
73.8,4.74371456972986
74.16,4.33813039772137
74.52,4.0797617665691
74.88,3.86319719436994
75.24,3.68695272165019
75.6,3.54850957439493
75.96,3.444314164048
76.32,3.37177998128431
76.68,3.37577143681874
77.04,3.42069114158199
77.4,3.50356932076782
77.76,3.62098697390413
78.12,3.76907587485295
78.48,3.94351857181041
78.84,4.15270119418765
79.2,4.41734686707208
79.56,4.71170824139585
79.92,5.0332815047807
80.28,5.37981322320609
80.64,5.74930034100925
81,6.13999018088514
81.36,6.69789281366298
81.72,7.43029783995315
82.08,8.24817383170033
82.44,9.15016682961115
82.8,10.134797919165
83.16,10.6262844007484
83.52,9.53153477692664
83.88,8.46089115295709
84.24,7.42108178858598
84.6,6.42395274370805
84.96,5.48646787836646
85.32,4.70984166186555
85.68,4.05263681438211
86.04,3.57224509806628
86.4,3.31929218715689
86.76,3.32577861510173
87.12,3.31865426296406
87.48,3.86572571852143
87.84,5.14262990618388
88.2,5.94253861053112
88.56,5.23056735146021
88.92,4.56407785299653
89.28,3.9729434963373
89.64,3.50270556821455
90,3.21457326089522
90.36,3.16965297438547
90.72,3.37668759097701
91.08,3.7781595388849
91.44,4.32029520793948
91.8,4.95306494958632
92.16,4.16804028994557
92.52,3.12466424300841
92.88,3.2080297465737
93.24,3.48743743116117
93.6,3.13476556179902
93.96,3.05698508189026
94.32,3.28578349179322
94.68,3.78858044233506
95.04,4.48206586453309
95.4,5.38315487857115
95.76,6.36832179829079
96.12,7.40914218969893
96.48,8.48650853011306
96.84,9.59063020816117
97.2,9.19537962685641
97.56,8.23169181536785
97.92,7.30425602898351
98.28,6.40081080942946
98.64,5.75421013365022
99,5.26957856375452
99.36,4.83820797716353
99.72,4.46396981701313
100.08,4.16807406857299
100.44,3.90568873597392
100.8,3.67079232114695
101.16,3.46566482448232
101.52,3.29219446725047
101.88,3.15187769160205
102.24,3.04581916056791
102.6,2.97496877911548
102.96,2.95305278145244
103.32,2.97666835605886
103.68,3.04655825520252
104.04,3.16213459047079
104.4,3.32147883277066
104.76,3.52134181232869
105.12,3.75714371869107
105.48,4.00454006049663
105.84,4.34821894109362
106.2,4.82748877771851
106.56,5.43339897880554
106.92,6.17887631250933
107.28,6.99482270834426
107.64,7.8671034416492
108,8.79593949286098
108.36,8.21743759560003
108.72,7.15882219004824
109.08,6.13733173327506
109.44,5.1747180567457
109.8,4.30684465418412
110.16,3.61540869070191
110.52,3.17923443773438
110.88,3.03216806636481
111.24,3.19311738061641
111.6,3.62028997551092
111.96,4.2111932370687
112.32,3.11763261025024
112.68,3.2639226631095
113.04,4.62246492259394
113.4,3.99883615300762
113.76,3.47172091364156
114.12,3.11242273422632
114.48,2.97562721430956
114.84,3.09940202325609
115.2,3.4778571402108
115.56,4.01922414583884
115.92,4.66779136677511
116.28,5.38043091438849
116.64,6.12921477566993
117,6.90141481323246
117.36,4.73298086029213
117.72,3.38724777601799
118.08,2.81820240313164
118.44,2.93417538042478
118.8,3.3477528196976
119.16,3.97687675227864
119.52,4.75402541249725
119.88,5.62621323768359
120.24,6.62848919518556
120.6,7.71013591947133
120.96,8.82438658835886
121.32,9.96291300559957
121.68,11.1204369550492
122.04,11.6555702350588
122.4,10.6414694932836
122.76,9.6899146684718
123.12,8.79907051596709
123.48,8.10642510936443
123.84,7.51685197251245
124.2,7.01902878582194
124.56,6.64424459115916
124.92,6.30644244760465
125.28,5.98831637748555
125.64,5.6900086111304
126,5.41165926380336
126.36,5.15340633570418
126.72,4.93654624917197
127.08,4.755614155975
127.44,4.57995929007773
127.8,4.40964654182033
128.16,4.24474992399229
128.52,4.0853525718324
128.88,3.93154674302879
129.24,3.78343381771891
129.6,3.65485864370542
129.96,3.55744438752081
130.32,3.45935508877108
130.68,3.36054047601344
131.04,3.2609514805858
131.4,3.16054023660673
131.76,3.05926008097553
132.12,2.95706555337217
132.48,2.86132950597903
132.84,2.79714723637215
133.2,2.73361215381651
133.56,2.67069832149696
133.92,2.60838077511208
134.28,2.54663552287413
134.64,2.48543954550905
135,2.42477079625649
135.36,2.36460820086979
135.72,2.30493165761599
136.08,2.24572203727579
136.44,2.18696118314365
136.8,2.12863191102764
137.16,2.0707180092496
137.52,2.01320423864501
137.88,1.96050997877436
138.24,1.9156936556479
138.6,1.87212663702689
138.96,1.82980754802094
139.32,1.78873629845559
139.68,1.74891408287232
140.04,1.71034338052852
140.4,1.67302795539754
140.76,1.63697285616864
141.12,1.60218441624701
141.48,1.56867025375378
141.84,1.53643927152602
142.2,1.50550165711671
142.56,1.47586888279478
142.92,1.44755370554508
143.28,1.42274993689897
143.64,1.39991412770188
144,1.37732424705022
144.36,1.35497898983435
144.72,1.33287717775055
145.08,1.31101775930096
145.44,1.28939980979368
145.8,1.26802253134265
146.16,1.24688525286776
146.52,1.22598743009478
146.88,1.20532864555538
147.24,1.18490860858713
147.6,1.16472715533352
147.96,1.14478424874392
148.32,1.12507997857362
148.68,1.10561456138378
149.04,1.0863883405415
149.4,1.06740178621977
149.76,1.04865549539746
150.12,1.03015019185937
