"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,52.3355336745552
0.18,52.3360469985348
0.36,52.3365605005586
0.54,52.3370741809731
0.72,52.3375880401315
0.9,52.3381020783935
1.08,52.3386162961255
1.26,52.3391306937003
1.44,52.339645271497
1.62,52.3401600299022
1.8,52.3406749693078
1.98,52.3411900901132
2.16,52.341705392724
2.34,52.3422208775524
2.52,52.3427365450172
2.7,52.3432523955435
2.88,52.3437684295635
3.06,52.3442846475154
3.24,52.3448010498444
3.42,52.3453176370019
3.6,52.345834409446
3.78,52.3463513676416
3.96,52.3468685120597
4.14,52.3473858431782
4.32,52.3479033614816
4.5,52.3484210674605
4.68,52.3489389616127
4.86,52.3494570444421
5.04,52.3499753164592
5.22,52.3504937781814
5.4,52.3510124301322
5.58,52.3515312728419
5.76,52.3520503068475
5.94,52.3525695326923
6.12,52.3530889509263
6.3,52.3536085621059
6.48,52.3541283667943
6.66,52.354648365561
6.84,52.3551685589824
7.02,52.3556889476411
7.2,52.3562095321265
7.38,52.3567303130345
7.56,52.3572512909674
7.74,52.3577724665343
7.92,52.3582938403508
8.1,52.3588154130388
8.28,52.3593371852272
8.46,52.3598591575512
8.64,52.3603813306525
8.82,52.3609037051797
9,52.3614262817873
9.18,52.3619490611371
9.36,52.3629633272106
9.54,52.3640511774908
9.72,52.3651463094808
9.9,52.3662487233319
10.08,52.3673584191962
10.26,52.3684753972269
10.44,52.3695996575784
10.62,52.3707312004057
10.8,52.3718700258651
10.98,52.3730161341138
11.16,52.3741695253103
11.34,52.3753301996135
11.52,52.3764981571839
11.7,52.3776733981828
11.88,52.3788559227726
12.06,52.3800457311164
12.24,52.3812428233787
12.42,52.3824471997249
12.6,52.3836588603213
12.78,52.3848778053352
12.96,52.386104034935
13.14,52.3873375492904
13.32,52.3885783485715
13.5,52.3898264329499
13.68,52.391081802598
13.86,52.3923444576893
14.04,52.3936143983982
14.22,52.3948916249003
14.4,52.3961761373721
14.58,52.3974679359909
14.76,52.3987670209356
14.94,52.4000733923854
15.12,52.4013870505211
15.3,52.4027079955242
15.48,52.4040362275773
15.66,52.405371746864
15.84,52.4067145535688
16.02,52.4080646478774
16.2,52.4094220299765
16.38,52.4107867000537
16.56,52.4121586582978
16.74,52.4135379048983
16.92,52.414924440046
17.1,52.4163182639325
17.28,52.4177193767507
17.46,52.4191277786942
17.64,52.4205434699578
17.82,52.4219664507372
18,52.4233967212293
18.18,52.4248342816317
18.36,52.4262791321435
18.54,52.4277312729642
18.72,52.4291907042948
18.9,52.4306574263372
19.08,52.4321314392942
19.26,52.4336127433695
19.44,52.4351013387682
19.62,52.4365972256962
19.8,52.4381004043604
