"Distance [mm]","Mag_H [kA_per_meter] - Freq='1MHz' Phase='0deg'"
0,1.49772560224843
0.3,1.50311491835413
0.6,1.50871024001904
0.9,1.51451150037372
1.2,1.52051863635485
1.5,1.52673158870525
1.8,1.53315030197384
2.1,1.53977472451569
2.4,1.54660480849199
2.7,1.55364050987005
3,1.56088178842331
3.3,1.56832860773135
3.6,1.57598093517985
3.9,1.58383874196064
4.2,1.59190200307166
4.5,1.60017069731699
4.8,1.60864480730683
5.1,1.61732431945751
5.4,1.62620922399147
5.7,1.63529951493731
6,1.64459519012971
6.3,1.65409625120953
6.6,1.66380270362371
6.9,1.67371455662534
7.2,1.68383182327363
7.5,1.69415452043393
7.8,1.7046826687777
8.1,1.71541629278252
8.4,1.72635542073211
8.7,1.73750008471633
9,1.74885032063114
9.3,1.76040616817864
9.6,1.77216767086705
9.9,1.78413487601072
10.2,1.79630783473012
10.5,1.80868660195188
10.8,1.8212712364087
11.1,1.83406180063945
11.4,1.84705836098911
11.7,1.86026098760879
12,1.87366975445571
12.3,1.88728473929326
12.6,1.90110602369091
12.9,1.91513369302428
13.2,1.92936783647511
13.5,1.94380854703126
13.8,1.95845592148674
14.1,1.97331006044166
14.4,1.98837106830227
14.7,2.00363905328094
15,2.01911412739617
15.3,2.03351927696778
15.6,2.04497178197804
15.9,2.0565746880916
16.2,2.06832794404554
16.5,2.08023149671919
16.8,2.09228529113413
17.1,2.10448927045418
17.4,2.11684337598543
17.7,2.12934754717623
18,2.14200172161716
18.3,2.15480583504106
18.6,2.16775982132303
18.9,2.18086361248041
19.2,2.19411713867283
19.5,2.20752032820211
19.8,2.22107310751238
20.1,2.23947423985273
20.4,2.25824099606436
20.7,2.27709201660127
21,2.29602895794697
21.3,2.31505344800683
21.6,2.33416708610815
21.9,2.35337144300012
22.2,2.37266806085383
22.5,2.3969771231809
22.8,2.42456135793324
23.1,2.45267490792787
23.4,2.4813242387606
23.7,2.5105158288333
24,2.54025616935396
24.3,2.57055176433664
24.6,2.60140913060152
24.9,2.63283479777487
25.2,2.66483530828907
25.5,2.69741721738257
25.8,2.73058709309994
26.1,2.76435151629183
26.4,2.80279175335025
26.7,2.84170963301785
27,2.88091630643716
27.3,2.92041188735833
27.6,2.960196528833
27.9,3.00027042321433
28.2,3.04063380215695
28.5,3.08128693661696
28.8,3.122230136852
29.1,3.16346375242115
29.4,3.20498817218502
29.7,3.24680382430567
30,3.2889111762467
30.3,3.33131073477317
30.6,3.37400304595163
30.9,3.41698869515012
31.2,3.47331566529008
31.5,3.53296980645661
31.8,3.59356655222753
32.1,3.65510522284825
32.4,3.7175852531876
32.7,3.78100619273775
33,3.84536770561429
33.3,3.91066957055616
33.6,3.97691168092572
33.9,4.04409404470868
34.2,4.11221678451415
34.5,4.18128013757461
34.8,4.25128445574595
35.1,4.32223020550742
35.4,4.39411796796165
35.7,4.46694843883466
36,4.55272760856314
36.3,4.64345515403251
36.6,4.73458494051847
36.9,4.82612572767468
37.2,4.91808614868618
37.5,5.01047471026943
37.8,5.10329979267235
38.1,5.19656964967419
38.4,5.29029240858569
38.7,5.38447607024893
39,5.47912850903746
39.3,5.57425747285622
39.6,5.66987058314156
39.9,5.77333963018318
40.2,5.89642991737135
40.5,6.03151269063081
40.8,6.17847565177311
41.1,6.33721520955704
41.4,6.50763647968861
41.7,6.68965328482116
42,6.88318815455518
42.3,7.08817232543848
42.6,7.30454574096611
42.9,7.53225705158039
43.2,7.77126361467085
43.5,8.02153149457429
43.8,8.28303546257479
44.1,8.55575899690365
44.4,8.83969428273939
44.7,9.13484221220793
45,9.44121238438222
45.3,9.75882310528267
45.6,10.0877013878768
45.9,10.4278829520795
46.2,10.7794122247528
46.5,11.1423423397059
46.8,11.5167351376957
47.1,11.9026611664257
47.4,12.3001996805472
47.7,12.7094386416586
48,13.1304747183048
48.3,13.6188283484852
48.6,12.6823098592144
48.9,11.7664400423728
49.2,10.8745102659986
49.5,10.0104930555104
49.8,9.17904209370668
50.1,8.35162637015829
50.4,7.58964522829129
50.7,6.94766944595524
51,6.38629538174631
51.3,5.91014976526531
51.6,5.5678896971179
51.9,5.45220264891452
52.2,6.01859949872472
52.5,7.10349807530139
52.8,8.37462070584652
53.1,9.17853939798291
53.4,8.53719479644865
53.7,7.93098074907254
54,7.38286179621682
54.3,6.91191324040556
54.6,6.53332114632513
54.9,6.25838234082371
55.2,6.09450441291163
55.5,6.04520571376123
55.8,6.11011535670681
56.1,6.28497321724481
56.4,6.56162993303358
56.7,6.92804690389362
57,7.36829629180714
57.3,6.48666315974525
57.6,6.26046242347169
57.9,6.5923499263101
58.2,6.73556834933934
58.5,6.58641808268082
58.8,6.46586797618159
59.1,6.43532195872726
59.4,6.50652157757207
59.7,6.68053990701774
60,6.95668534369318
60.3,7.33250160655443
60.6,7.81886671833756
60.9,8.30118162925522
61.2,8.77475539209927
61.5,9.26249489623386
61.8,9.7572960017712
62.1,9.59601650046871
62.4,8.23684789516939
62.7,7.13424146851263
63,6.45625047016894
63.3,6.86388268822882
63.6,7.07196160011012
63.9,7.34093503639718
64.2,7.69103831364858
64.5,8.13947172168482
64.8,8.70040052358834
65.1,9.36270476986021
65.4,10.0321580418237
65.7,10.7118515114473
66,11.4579496266428
66.3,12.1767672338112
66.6,12.7612141878358
66.9,13.2817325656245
67.2,12.412429764272
67.5,11.085056204244
67.8,9.95903216763052
68.1,8.04753774859477
68.4,8.60689230623698
68.7,9.22101661318894
69,9.87691399023232
69.3,10.5696922342085
69.6,11.3025636180184
69.9,12.0868448906225
70.2,12.88966685292
70.5,13.6862794411207
70.8,14.4869214069901
71.1,15.2880053727193
71.4,16.0864251270644
71.7,16.8795556253461
72,17.6652529894489
72.3,15.4905141599549
72.6,13.8080202409077
72.9,12.1728957669154
73.2,11.7144958526143
73.5,12.4191131979309
73.8,13.1551423067546
74.1,13.992601983509
74.4,14.8950152589232
74.7,15.8443294086901
75,16.8367036853074
75.3,17.8903959908629
75.6,18.952899690605
75.9,20.0227589152807
76.2,21.0987154922943
76.5,22.1797089457094
76.8,23.2648764962482
77.1,23.6431096457114
77.4,22.7039511029822
77.7,21.7428428701749
78,20.7644399809735
78.3,19.8772337717212
78.6,19.3302306526941
78.9,18.8195540312703
79.2,18.3435218333362
79.5,17.9650242711161
79.8,17.8091230246699
80.1,17.6550424349557
80.4,17.5027861363504
80.7,17.3523578822936
81,17.2037615452874
81.3,17.056097303471
81.6,16.8644444445848
81.9,16.6757321945157
82.2,16.4899687675134
82.5,16.3071627651646
82.8,16.1273231763932
83.1,15.9504593774599
83.4,15.7765811319628
83.7,15.6056985908366
84,15.4378222923534
84.3,15.2729631621221
84.6,15.1111325130887
84.9,14.9523420455363
85.2,14.796603847085
85.5,14.6439303926918
85.8,14.4943345446509
86.1,14.3478295525936
86.4,14.204429053488
86.7,14.0641470716394
87,13.9269980186901
87.3,13.8160615635009
87.6,13.7264817289616
87.9,13.6369804802585
88.2,13.5475565775017
88.5,13.4582090289456
88.8,13.3689370909889
89.1,13.2797402681749
89.4,13.1906183131913
89.7,13.1191381152697
90,13.0579559073117
90.3,12.9971709790762
90.6,12.9367759700745
90.9,12.8767636543675
91.2,12.8171269405667
91.5,12.7578588718336
91.8,12.6989526258803
92.1,12.6404015149686
92.4,12.5821989859111
92.7,12.5243386200701
93,12.4668141333584
93.3,12.4096193762391
93.6,12.3527483337254
93.9,12.2961951253806
94.2,12.2399540053186
94.5,12.1840193622032
94.8,12.1283857192484
95.1,12.0771911348286
95.4,12.0328331613347
95.7,11.9885285681111
96,11.944276993631
96.3,11.9000781094621
96.6,11.8559316202664
96.9,11.8118372638007
97.2,11.7677948109163
97.5,11.7238040655587
97.8,11.6873762600215
98.1,11.653037635082
98.4,11.6190681614063
98.7,11.5854682872741
99,11.5522384682951
99.3,11.5193791674088
99.6,11.4868908548849
99.9,11.454774008323
100.2,11.4230291126524
100.5,11.3916566601326
100.8,11.3606571503531
101.1,11.3300310902331
101.4,11.2997789940218
101.7,11.2699013832986
102,11.2403987869725
102.3,11.2112717412827
102.6,11.18297548985
102.9,11.1596511070926
103.2,11.13627996901
103.5,11.1128620029871
103.8,11.0893971405993
104.1,11.0658853176126
104.4,11.0423264739838
104.7,11.0187205538603
105,10.9950675055798
105.3,10.9713672816709
105.6,10.9476198388528
105.9,10.9238251380353
106.2,10.8999831443186
106.5,10.8760938269939
106.8,10.8521571595428
107.1,10.8323861994183
107.4,10.8148478868358
107.7,10.7973677978894
108,10.7799463714997
