"Distance [mm]","Mag_H [kA_per_meter] - Freq='1MHz' Phase='0deg'"
0,4.88864838878362
0.3,4.89288696637078
0.6,4.89713873901509
0.9,4.90140370669374
1.2,4.90568186939534
1.5,4.90997322712003
1.8,4.91427777987937
2.1,4.91859552769637
2.4,4.92292647060549
2.7,4.92727060865267
3,4.93162794189525
3.3,4.93599847040207
3.6,4.94038219425339
3.9,4.94477911354095
4.2,4.94918922836792
4.5,4.95361253884891
4.8,4.95804904511001
5.1,4.96263568634672
5.4,4.96723516892174
5.7,4.97184522473315
6,4.97646585613415
6.3,4.98109706550547
6.6,4.98573885525526
6.9,4.99039122781916
7.2,4.99505418566026
7.5,4.99972773126914
7.8,5.00441186716382
8.1,5.00910659588982
8.4,5.01381192002009
8.7,5.01852784215508
9,5.02325436492269
9.3,5.02799149097829
9.6,5.03273922300471
9.9,5.03749756371226
10.2,5.04226651583872
10.5,5.04704608214931
10.8,5.05183626543676
11.1,5.05663706852123
11.4,5.06144849425035
11.7,5.06627054549925
12,5.07110322517049
12.3,5.07594653619411
12.6,5.08080048152762
12.9,5.08566506415601
13.2,5.09054028709171
13.5,5.09542615337463
13.8,5.10032266607216
14.1,5.10522982827912
14.4,5.11014764311785
14.7,5.11507611373811
15,5.12001524331716
15.3,5.1249650350597
15.6,5.12992549219792
15.9,5.13489661799145
16.2,5.13987841572743
16.5,5.14487088872042
16.8,5.1498740403125
17.1,5.15488787387315
17.4,5.15991239279937
17.7,5.16494760051561
18,5.16999350047378
18.3,5.17505009615328
18.6,5.18026819972885
18.9,5.18567296007124
19.2,5.19104077908311
19.5,5.1963716879678
19.8,5.20166571932664
20.1,5.20692290715899
20.4,5.21214328686224
20.7,5.21732689523178
21,5.22247377046109
21.3,5.22758395214159
21.6,5.23265748126278
21.9,5.23769440021215
22.2,5.24269475277522
22.5,5.24765858413557
22.8,5.25258594087475
23.1,5.25747687097237
23.4,5.26233142380605
23.7,5.26714965015142
24,5.27193160218216
24.3,5.27735497813214
24.6,5.28474793914072
24.9,5.2923328192678
25.2,5.30010962853759
25.5,5.30807837741334
25.8,5.3162390767975
26.1,5.32459173803156
26.4,5.33313637289621
26.7,5.3418729936112
27,5.35080161283548
27.3,5.35992224366705
27.6,5.36923489964309
27.9,5.37873959473983
28.2,5.38843634337273
28.5,5.39832516039628
28.8,5.40840606110415
29.1,5.41867906122911
29.4,5.42914417694305
29.7,5.439801424857
30,5.45065082202111
30.3,5.46169238592465
30.6,5.47292613449601
30.9,5.48435208610272
31.2,5.49597025955142
31.5,5.50778067408786
31.8,5.51978334939697
32.1,5.53197830560274
32.4,5.54436556326831
32.7,5.55694514339595
33,5.56971706742705
33.3,5.58268135724212
33.6,5.59583803516079
33.9,5.60918712394184
34.2,5.62323239085632
34.5,5.63839683106181
34.8,5.6533793663432
35.1,5.66818261133324
35.4,5.68280929440852
35.7,5.69726225768943
36,5.71154445704019
36.3,5.72565896206881
36.6,5.73960895612716
36.9,5.75339773631087
37.2,5.76702871345942
37.5,5.78050541215611
37.8,5.80709839002664
38.1,5.83986883862533
38.4,5.87272391322237
38.7,5.90561476560414
39,5.93849593631626
39.3,5.97132535466347
39.6,6.00406433870972
39.9,6.03667759527812
40.2,6.06913321995093
40.5,6.10020971615512
40.8,6.13064938141336
41.1,6.17539639264545
41.4,6.23323776932321
41.7,6.30418811102504
