"Distance [mm]","Mag_H [kA_per_meter] - Freq='1MHz' Phase='0deg'"
0,0.0433967683059894
0.3,0.0453283183080193
0.6,0.047364994640745
0.9,0.0495071705572846
1.2,0.0517552325779445
1.5,0.0541095804902187
1.8,0.0565706273487882
2.1,0.0591387994755227
2.4,0.0618145364594789
2.7,0.0645982911569012
3,0.0674905296912219
3.3,0.0704917314530604
3.6,0.0736023891002242
3.9,0.0768230085577083
4.2,0.0801541090176953
4.5,0.0835962229395559
4.8,0.0871498960498471
5.1,0.0911516485451124
5.4,0.0954957447302396
5.7,0.0998921331962636
6,0.104339655944708
6.3,0.108837156035865
6.6,0.113383477588797
6.9,0.117977465781333
7.2,0.122617966850073
7.5,0.127303828090385
7.8,0.132033897856407
8.1,0.136807025561043
8.4,0.141622061675969
8.7,0.146477857731628
9,0.151373266317232
9.3,0.156307141080764
9.6,0.161278336728973
9.9,0.166285709027378
10.2,0.171328114800268
10.5,0.176404411930698
10.8,0.181513459360496
11.1,0.186654117090255
11.4,0.191825246179338
11.7,0.197025708745879
12,0.202254367966778
12.3,0.207510088077706
12.6,0.2127917343731
12.9,0.218098173206171
13.2,0.223428271988893
13.5,0.228780899192013
13.8,0.234154924345045
14.1,0.239549218036271
14.4,0.244962651912745
14.7,0.250394098680289
15,0.25584243210349
15.3,0.261306527005708
15.6,0.266785259269072
15.9,0.272277505834477
16.2,0.277782144701589
16.5,0.283298054928841
16.8,0.293410688255407
17.1,0.306752724783838
17.4,0.320650283987407
17.7,0.335088642079322
18,0.350053518778155
18.3,0.365531077307851
18.6,0.381507924397705
18.9,0.397971110282387
19.2,0.414908128701919
19.5,0.432306916901691
19.8,0.450155855632458
20.1,0.46844376915033
20.4,0.487159925216794
20.7,0.506294035098683
21,0.525836253568202
21.3,0.545777178902924
21.6,0.566107852885769
21.9,0.586819760805039
22.2,0.609000409721556
22.5,0.631568058313909
22.8,0.654379329302169
23.1,0.677435208493009
23.4,0.700736795698102
23.7,0.724285304734112
24,0.748082063422695
24.3,0.772128513590502
24.6,0.796426211069172
24.9,0.820976825695337
25.2,0.845782141310627
25.5,0.87084405576166
25.8,0.896164580900049
26.1,0.921745842582396
26.4,0.947590080670301
26.7,0.973699649030351
27,1.00007701553413
27.3,1.02672476205821
27.6,1.05895444092139
27.9,1.10770155937059
28.2,1.15735602684896
28.5,1.2079059221097
28.8,1.25933956042614
29.1,1.31164549359175
29.4,1.36481250992016
29.7,1.4188296342451
30,1.47368612792047
30.3,1.52937148882029
30.6,1.58587545133873
30.9,1.64318798639009
31.2,1.70129930140881
31.5,1.76019984034948
31.8,1.81988028368681
32.1,1.88033154841566
32.4,1.94583343592612
32.7,2.01213707316006
33,2.07921505123291
33.3,2.14707057282563
33.6,2.21570708185562
33.9,2.28512826347665
34.2,2.3553380440789
34.5,2.42634059128893
34.8,2.49814031396971
35.1,2.57074186222059
35.4,2.64415012737734
35.7,2.71837024201208
36,2.79340757993337
36.3,2.86926775618614
36.6,2.94595662705173
36.9,3.0309670344324
37.2,3.17736122723549
37.5,3.32591171217577
37.8,3.47659680208497
38.1,3.62939488229054
38.4,3.78428441061573
38.7,3.94124391737954
39,4.10025200539673
39.3,4.26128734997787
39.6,4.42432869892926
39.9,4.58935487255298
40.2,4.7563447636469
40.5,4.92527733750459
40.8,5.09613163191549
41.1,5.26535938761083
41.4,5.43675782222944
41.7,5.61112114776085
42,5.78858537522117
42.3,5.96929913902482
42.6,6.15342369698443
42.9,6.34796463175564
43.2,6.57030971398286
43.5,6.82056366374324
43.8,7.09882193816997
44.1,7.40517858695458
44.4,7.73972625234702
44.7,8.10255616915561
45,8.49375816474702
45.3,8.91342065904635
45.6,9.36163066453702
45.9,9.83847378626085
46.2,10.3440342218181
46.5,10.8783947613673
46.8,11.4416367876256
47.1,12.033840275868
47.4,12.6550837939285
47.7,13.3054445021992
48,13.9849981536296
48.3,14.0409385222834
48.6,13.2174323147302
48.9,12.4149537921958
49.2,11.6362926618753
49.5,10.885627435841
49.8,10.1685254310422
50.1,9.49194276930565
50.4,8.86422437733514
50.7,8.29510398671156
51,7.79570413389313
51.3,7.37853616021513
51.6,7.05750021189009
51.9,6.84788524000769
52.2,7.54279763715669
52.5,8.50494148049003
52.8,9.75608349079008
53.1,11.0250629741836
53.4,10.5051813096898
53.7,10.0034946443693
54,9.52989569167421
54.3,9.09369212906513
54.6,8.70360659801108
54.9,8.36777670398956
55.2,7.93706279438139
55.5,7.76722928171213
55.8,7.6517775280583
56.1,7.40951739965335
56.4,7.45797487161791
56.7,7.76226175616151
57,8.23606087525322
57.3,7.80223850948254
57.6,8.20685717898498
57.9,9.13171768814211
58.2,9.65054316419532
58.5,9.26956051997791
58.8,8.92950176265745
59.1,8.63798091200257
59.4,8.40133231148926
59.7,8.22461062830075
60,8.1115908533277
60.3,8.06476830116806
60.6,8.08535861012711
60.9,8.17329774221745
61.2,8.32724198315905
61.5,8.54456794237912
61.8,8.82137255301233
62.1,8.55280110219011
62.4,8.15031519076425
62.7,8.24227344009795
63,8.70943026893239
63.3,8.53415804835875
63.6,8.34466359614708
63.9,8.19324979630299
64.2,8.08823452531463
64.5,8.03835671217352
64.8,8.08484771986469
65.1,8.17388625051414
65.4,8.30134719474186
65.7,8.49381832780455
66,8.74447657402258
66.3,9.04687629313078
66.6,9.3945511373748
66.9,9.78101405151115
67.2,9.14143173105643
67.5,8.30245325215327
67.8,7.8391784264101
68.1,8.19099253406872
68.4,7.85098305712205
68.7,7.62167648622846
69,7.52029412649015
69.3,7.6255737986415
69.6,7.83840790653687
69.9,8.15750271844962
70.2,8.52372462179101
70.5,8.97859391531509
70.8,9.42404981489319
71.1,9.88043829433264
71.4,10.3488015067009
71.7,10.8252688484467
72,11.3028603054395
72.3,9.77725152449546
72.6,8.49604188243584
72.9,7.39385842893931
73.2,6.92499997410808
73.5,7.19260250925244
73.8,7.56368271172309
74.1,8.0265498181753
74.4,8.5704941583694
74.7,9.1857871551706
75,9.86368132454925
75.3,10.5964102755806
75.6,11.3771887104449
75.9,12.2002124244275
76.2,13.0606583059187
76.5,13.9546843364137
76.8,14.879429590513
77.1,14.0203822619838
77.4,13.2634456148263
77.7,12.5473795649965
78,11.8717204125301
78.3,11.2360281208469
78.6,10.6398863167503
78.9,10.0829022904272
79.2,9.56470699544869
79.5,9.08495504876911
79.8,8.64332473072669
80.1,8.23951798504353
80.4,7.87326041882521
80.7,7.54430130256117
81,7.25241357012451
81.3,6.99739381877206
81.6,6.77906230914438
81.9,6.59726296526575
82.2,6.407481014379
82.5,6.21956717312367
82.8,6.03395549176113
83.1,5.85060921663939
83.4,5.66949313524479
83.7,5.49057357620199
84,5.32385737312148
84.3,5.1671823242683
84.6,5.01224221118662
84.9,4.8590140627896
85.2,4.70747603382119
85.5,4.55760740485611
85.8,4.40938858229988
86.1,4.26280109838878
86.4,4.11782761118989
86.7,3.97445190460107
87,3.83265888835096
87.3,3.69243459799897
87.6,3.55376619493531
87.9,3.41664196638098
88.2,3.28105132538772
88.5,3.14698481083811
88.8,3.01443408744546
89.1,2.8833919457539
89.4,2.75385230213831
89.7,2.6258101988044
90,2.54163205048052
90.3,2.47505387117977
90.6,2.40904905428301
90.9,2.34363917537032
91.2,2.27884590853911
91.5,2.214691026404
91.8,2.15119640009691
92.1,2.08838399926703
92.4,2.02627589208081
92.7,1.96489424522197
93,1.9042613238915
93.3,1.84439949180768
93.6,1.78533121120602
93.9,1.72707904283934
94.2,1.67325305859562
94.5,1.62046629506838
94.8,1.5682191767735
95.1,1.51652186238048
95.4,1.46538691308107
95.7,1.41482929258928
96,1.36486636714135
96.3,1.31551790549583
96.6,1.26680607893348
96.9,1.21875546125732
97.2,1.17139302879265
97.5,1.124748160387
97.8,1.07885263741017
98.1,1.03374064375423
98.4,1.00529912576536
98.7,0.98087754223332
99,0.956826104299138
99.3,0.933147625199515
99.6,0.909845219422417
99.9,0.886922302707064
100.2,0.864382592043935
100.5,0.842230105674777
100.8,0.820469163092594
101.1,0.799104385041649
101.4,0.778140693517468
101.7,0.757583311766835
102,0.737459854708663
102.3,0.717719112091145
102.6,0.698296924402772
102.9,0.679192932592801
103.2,0.660406771094621
103.5,0.641938067825768
103.8,0.623786444187923
104.1,0.60595151506691
104.4,0.588432888832695
104.7,0.571230167339392
105,0.554342945925253
105.3,0.537770813412679
105.6,0.52151335210821
105.9,0.505570137802531
106.2,0.489940739770475
106.5,0.47462472077101
106.8,0.459621637047258
107.1,0.444931038326475
107.4,0.430552467820066
107.7,0.41648546222358
108,0.402729551716706
108.3,0.389284259963281
108.6,0.376149104111282
108.9,0.363323594792831
109.2,0.350807236124195
109.5,0.338599525705782
109.8,0.326699954622146
110.1,0.315108007441982
110.4,0.303823162218133
110.7,0.292844890487581
111,0.282172657271454
111.3,0.271805921075023
111.6,0.261744133887704
111.9,0.251986741183053
112.2,0.242533181918776
112.5,0.233382888536714
112.8,0.224535286962861
113.1,0.215989796607348
113.4,0.20774583036445
113.7,0.199802794612591
114,0.192160089214332
114.3,0.184817107516382
114.6,0.177773236349592
114.9,0.171027856028957
115.2,0.164580340353615
115.5,0.158430056606849
115.8,0.152576365556084
116.1,0.14701862145289
116.4,0.14175617203298
116.7,0.136788358516211
117,0.13216402265129
117.3,0.127872951773686
117.6,0.123632126976105
117.9,0.119439344011543
118.2,0.115292455845198
118.5,0.111189372654464
118.8,0.107128061828938
119.1,0.103106547970415
119.4,0.0991229128928899
119.7,0.0951752956225562
120,0.0912618923978083
120.3,0.0873809566692397
120.6,0.0846855648632945
120.9,0.0834293187871875
121.2,0.0821754737603967
121.5,0.080923961411764
121.8,0.0796747145067223
122.1,0.0784276669472971
122.4,0.0771827537721039
122.7,0.0759399111563508
123,0.0746990764118365
123.3,0.0734601879869518
123.6,0.0722231854666782
123.9,0.0709880095725893
124.2,0.0697546021628499
124.5,0.0685229062322157
124.8,0.0672928659120349
125.1,0.0660644264702462
125.4,0.0648375343113803
125.7,0.0636121369765587
126,0.0623881831434951
126.3,0.0611656226264939
