"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,0.29140117194893
0.36,0.289189368225175
0.72,0.286979904912506
1.08,0.284771333064787
1.44,0.282562229175871
1.8,0.280351195179605
2.16,0.278136858449825
2.52,0.275917871800359
2.88,0.273692913485028
3.24,0.271460687197641
3.6,0.269219922072002
3.96,0.266969372681904
4.32,0.26470781904113
4.68,0.262434066603459
5.04,0.260146946262656
5.4,0.257845314352481
5.76,0.255528052646685
6.12,0.253194068359007
6.48,0.250842294143182
6.84,0.248471688092932
7.2,0.246081233741974
7.56,0.243669940064014
7.92,0.24123684147275
8.28,0.238780997821871
8.64,0.236301494405057
9,0.233797441955981
9.36,0.231267976648307
9.72,0.228712260095688
10.08,0.226129479351769
10.44,0.22351884691019
10.8,0.220879600704577
11.16,0.218211004108551
11.52,0.215512345935722
11.88,0.212782940439694
12.24,0.208340935118077
12.6,0.20157748177317
12.96,0.194949301228178
13.32,0.188561855541428
13.68,0.182517531386302
14.04,0.176915640051241
14.4,0.17185241743974
14.76,0.167421024070354
15.12,0.16371154507669
15.48,0.160810990207417
15.84,0.158803293826256
16.2,0.157769314911988
16.56,0.157786837058449
16.92,0.158930568474532
17.28,0.161272141984187
17.64,0.16488011502642
18,0.169819969655294
18.36,0.177584504852183
18.72,0.186625486932473
19.08,0.196873180665113
19.44,0.208271162759841
19.8,0.220766237957665
20.16,0.234308439030867
20.52,0.248851026783005
20.88,0.264350490048904
21.24,0.280766545694671
21.6,0.298062138617675
21.96,0.316203441746568
22.32,0.335159856041265
22.68,0.354904010492966
23.04,0.375411762124129
23.4,0.396662195988501
23.76,0.418637625171087
24.12,0.449114507525808
24.48,0.485695724220525
24.84,0.522356677932951
25.2,0.559111814829726
25.56,0.595975666856622
25.92,0.632962851738513
26.28,0.670088072979409
26.64,0.707366119862415
27,0.744811867449781
27.36,0.782440276582848
27.72,0.820266393882089
28.08,0.858305351747089
28.44,0.896572368356561
28.8,0.93508274766832
29.16,0.973851879419307
29.52,1.01289523912558
29.88,1.05541998418049
30.24,1.11720703138259
30.6,1.17952424535249
