"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,5.45407335189045
0.36,5.47848196966736
0.72,5.50305223776549
1.08,5.52778400181923
1.44,5.55267711382716
1.8,5.57773143215211
2.16,5.60294682152112
2.52,5.62832315302542
2.88,5.65386030412048
3.24,5.67955815862598
3.6,5.7054166067258
3.96,5.73143554496808
4.32,5.7576148762651
4.68,5.78395450989341
5.04,5.81045436149378
5.4,5.83711435307116
5.76,5.86393441299476
6.12,5.89091447599795
6.48,5.91805448317837
6.84,5.94535438199782
7.2,5.97281412628237
7.56,6.00043367622228
7.92,6.02821299837201
8.28,6.05615206565026
8.64,6.08425085733993
9,6.11250935908815
9.36,6.14092756290626
9.72,6.16950546716981
10.08,6.19824307661854
10.44,6.22714040235648
10.8,6.25619746185179
11.16,6.2854142789369
11.52,6.31479088380844
11.88,6.34432731302725
12.24,6.37535189649777
12.6,6.40818767619464
12.96,6.44089700002436
13.32,6.47347917642889
13.68,6.50593358597954
14.04,6.53825968137712
14.4,6.57045698745174
14.76,6.60252510116296
15.12,6.6344636915997
15.48,6.66627249998034
15.84,6.69795133965256
16.2,6.72950009609354
16.56,6.76091872690978
16.92,6.79220726183724
17.28,6.8233658027412
17.64,6.85439452361644
18,6.88529367058704
18.36,6.91869692678085
18.72,6.95211052841215
19.08,6.98551687265107
19.44,7.01891588265735
19.8,7.05230752077825
20.16,7.08569178854862
20.52,7.11906872669091
20.88,7.15243841511514
21.24,7.1858009729189
21.6,7.21915655838733
21.96,7.25250536899321
22.32,7.28584764139682
22.68,7.31918365144609
23.04,7.35251371417643
23.4,7.38583818381092
23.76,7.41915745376018
24.12,7.45187156104479
24.48,7.48392204867511
24.84,7.51570619712728
25.2,7.54722268858145
25.56,7.5784703281756
25.92,7.60944804400566
26.28,7.64015488712545
26.64,7.67059003154665
27,7.70075277423894
27.36,7.73064253512982
27.72,7.76025885710472
28.08,7.78960140600697
28.44,7.81866997063781
28.8,7.8474644627564
29.16,7.87598491707976
29.52,7.90423149128284
29.88,7.93220724257381
30.24,7.95997346972845
30.6,7.98754932281527
30.96,8.01493497925176
31.32,8.04213068634636
31.68,8.06913676129855
32.04,8.09595359119867
32.4,8.12258163302812
32.76,8.14902141365926
33.12,8.17527352985535
33.48,8.2013386482707
33.84,8.22721750545055
34.2,8.25291090783113
34.56,8.27841973173961
34.92,8.30374492339415
35.28,8.32888749890387
35.64,8.35384854426889
36,8.37890950231277
36.36,8.40400293936573
36.72,8.42888372157385
37.08,8.45355174696302
37.44,8.47800691545364
37.8,8.50224912886065
38.16,8.52627829089356
38.52,8.55009430715643
38.88,8.57369708514787
39.24,8.59708653426102
39.6,8.62026256578358
39.96,8.64322509289781
40.32,8.66597403068052
40.68,8.68850929610307
41.04,8.71083080803135
41.4,8.73293848722582
41.76,8.75483225634148
42.12,8.79420441461435
42.48,8.83647523268361
42.84,8.88053666370707
43.2,8.92639429769893
43.56,8.97405360340066
43.92,9.02351992828117
44.28,9.07479849853665
