"Distance [mm]","Mag_H [kA_per_meter] - Freq='1MHz' Phase='0deg'"
0,0.334154653955055
0.36,0.339092676325255
0.72,0.344202356520262
1.08,0.349484287236684
1.44,0.354939040980276
1.8,0.36056717006593
2.16,0.366369206617688
2.52,0.37234566256873
2.88,0.378497029661387
3.24,0.384946315668244
3.6,0.393593842871538
3.96,0.402233625219788
4.32,0.410865385803599
4.68,0.419488850396885
5.04,0.428103747456873
5.4,0.436709808124096
5.76,0.445306766222404
6.12,0.453894358258952
6.48,0.462472323424209
6.84,0.471040403591954
7.2,0.479598343319276
7.56,0.488145889846575
7.92,0.496682793097562
8.28,0.505208805679257
8.64,0.513723682881994
9,0.522227182679416
9.36,0.530719065728474
9.72,0.539199095369434
10.08,0.54766703762587
10.44,0.556122661204666
10.8,0.564565737496023
11.16,0.572996040573441
11.52,0.581413347193742
11.88,0.589817436797052
12.24,0.598208091506812
12.6,0.606585096129767
12.96,0.614948238155983
13.32,0.623297307758824
13.68,0.631632097794979
14.04,0.639952403804432
14.4,0.652483841634607
14.76,0.666966526540747
15.12,0.681416253007103
15.48,0.695835511349046
15.84,0.710226869297886
16.2,0.724592972000848
16.56,0.738936542021088
16.92,0.753260379337691
17.28,0.767567361345661
17.64,0.781860442855936
18,0.798316981005211
18.36,0.815387673382343
18.72,0.832781471039975
19.08,0.850498560405069
19.44,0.868539117660703
19.8,0.88690330874607
20.16,0.905591289356467
20.52,0.924603204943318
20.88,0.943939190714147
21.24,0.963599371632601
21.6,0.983583862418429
21.96,1.00389276754751
22.32,1.02452618125182
22.68,1.04548418751945
23.04,1.06676686009462
23.4,1.08837426247764
23.76,1.11030644792495
24.12,1.1325634594491
24.48,1.15514532981875
24.84,1.17796191753789
25.2,1.20108415382142
25.56,1.22455991161062
25.92,1.24838922898896
26.28,1.27257214392813
26.64,1.297108694288
27,1.32199891781665
27.36,1.34724285215035
27.72,1.37343779075979
28.08,1.40335212893715
28.44,1.43360078547385
28.8,1.46418441639656
29.16,1.49510377238831
29.52,1.52635969878847
29.88,1.55795313559272
30.24,1.5898851174531
30.6,1.62215677367798
30.96,1.65476932823204
31.32,1.68772409973635
31.68,1.72102250146827
32.04,1.75981690898044
32.4,1.80237279718891
32.76,1.84558288616416
33.12,1.88944964622172
33.48,1.933975790679
33.84,1.97916427585536
34.2,2.02501830107208
34.56,2.07154130865234
34.92,2.11873698392124
35.28,2.16660925520582
35.64,2.21516229383503
36,2.26440051413974
36.36,2.31432857345273
36.72,2.36508105534852
37.08,2.41669530900801
37.44,2.46910617372315
37.8,2.52231472532903
38.16,2.57632235574244
38.52,2.63113077296184
38.88,2.68674200106745
39.24,2.74315838022112
39.6,2.80038256666644
39.96,2.85841753272867
40.32,2.92642284637305
40.68,3.00064474330073
41.04,3.07515671129088
41.4,3.1499571682407
41.76,3.22504453591716
42.12,3.30041723995704
42.48,3.37607370986687
42.84,3.45201237902298
43.2,3.52823168467147
43.56,3.60473006792825
43.92,3.69870641387377
44.28,3.8048568591202
44.64,3.9129576300615
45,4.02302254459721
45.36,4.13506524197542
45.72,4.24909918279275
46.08,4.36513764899442
46.44,4.48319374387414
46.8,4.60328039207423
47.16,4.72541033958551
47.52,4.84959615374738
47.88,4.97585022324776
48.24,5.10418475812319
48.6,5.23461178975865
48.96,5.37812555005459
49.32,5.54331257984765
49.68,5.7073988892829
50.04,5.87037521897541
50.4,6.03223244280055
50.76,6.19296156789397
51.12,6.35255373465163
51.48,6.5110002167297
51.84,6.66829242104469
52.2,6.82442188777332
52.56,7.01098247935128
52.92,7.27303738563589
53.28,7.56425303201588
53.64,7.88421503138492
54,8.232565105924
54.36,8.60900108710135
54.72,9.01327691567246
55.08,9.44520264168007
55.44,9.90464442445418
55.8,10.391524532612
56.16,10.9058213440581
56.52,11.4475693459842
56.88,12.0168591348693
57.24,12.6138374164797
57.6,13.2387070058689
57.96,13.8917268273777
58.32,14.1295314392991
58.68,12.9245119711083
59.04,11.7385375258444
59.4,10.5842596543585
59.76,9.47682711750579
60.12,8.42262547778578
60.48,7.52720936898912
60.84,6.78061387190977
61.2,6.14016730444627
61.56,5.64395122926402
61.92,5.41080045379534
62.28,6.31323216233838
62.64,7.64789790104447
63,9.34294958429291
63.36,8.99078137327518
63.72,8.21137817559198
64.08,7.48700119587173
64.44,6.85918011945911
64.8,6.36564232346457
65.16,6.01520467856221
65.52,5.81838354128762
65.88,5.94592044172981
66.24,6.38442601896855
66.6,6.90660200757502
66.96,7.07124123761181
67.32,5.99634483582656
67.68,5.6914894817787
68.04,6.61023499437045
