"Distance [mm]","Mag_H [kA_per_meter] - Freq='1MHz' Phase='0deg'"
0,3.68494965718675
0.36,3.6885058974252
0.72,3.69212193710677
1.08,3.69579776441759
1.44,3.69953336807088
1.8,3.70332873730695
2.16,3.70718386189321
2.52,3.71109873212416
2.88,3.71507333882138
3.24,3.71910767333358
3.6,3.72320172753651
3.96,3.72735549383306
4.32,3.73156896515318
4.68,3.73584213495392
5.04,3.74017499721942
5.4,3.74456754646095
5.76,3.74901977771681
6.12,3.75353168655243
6.48,3.75810326906033
6.84,3.76273452186012
7.2,3.7674254420985
7.56,3.77217602744925
7.92,3.77698627611327
8.28,3.78185618681853
8.64,3.78678575882011
9,3.79177499190016
9.36,3.79682388636795
9.72,3.80193244305981
10.08,3.80710066333919
10.44,3.81232854909662
10.8,3.81761610274972
11.16,3.82296332724322
11.52,3.82837022604892
11.88,3.83383680316572
12.24,3.83936306311962
12.6,3.8449490109637
12.96,3.85059465227814
13.32,3.85629999317022
13.68,3.8612764752152
14.04,3.8660468463685
14.4,3.8708352639702
14.76,3.87564180520984
15.12,3.88046654808307
15.48,3.88530957139167
15.84,3.89017095474357
16.2,3.89505077855282
16.56,3.90247877302967
16.92,3.91099077709492
17.28,3.91960427297902
17.64,3.92831924404553
18,3.93713567695782
18.36,3.94605356167907
18.72,3.95507289147227
19.08,3.9641936629002
19.44,3.97341587582547
19.8,3.9827395334105
20.16,3.99216464211749
20.52,4.0016912117085
20.88,4.01131925524535
21.24,4.02105767938872
21.6,4.03114854756846
21.96,4.04134775115072
22.32,4.05165528736818
22.68,4.0620711537348
23.04,4.07259534804578
23.4,4.08322786837761
23.76,4.09396871308803
24.12,4.10481788081603
24.48,4.1157753704819
24.84,4.12684118128712
25.2,4.13801531271452
25.56,4.14929776452813
25.92,4.16068853677327
26.28,4.17218762977652
26.64,4.1837950441457
27,4.19551078076993
27.36,4.20733484081955
27.72,4.21926722574621
28.08,4.23130793728277
28.44,4.2434569774434
28.8,4.25839057694429
29.16,4.27539238539566
29.52,4.29250280281828
29.88,4.30972351272184
30.24,4.32705621849383
30.6,4.34450264339949
30.96,4.36206453058188
31.32,4.37974364306181
31.68,4.39754176373785
32.04,4.41546069538642
32.4,4.43350226066166
32.76,4.45166830209553
33.12,4.46996068209772
33.48,4.48838128295577
33.84,4.50693200683494
34.2,4.52561477577831
34.56,4.55535831009872
34.92,4.58585846223301
35.28,4.61623395406357
35.64,4.64648459718134
36,4.67661021587254
36.36,4.70661064711872
36.72,4.73648574059673
37.08,4.76623535867873
37.44,4.7958593764322
37.8,4.82535768161992
38.16,4.85473017469999
38.52,4.88397676882581
38.88,4.91309738984608
39.24,4.94311616593122
39.6,4.97643385397
39.96,5.01114453512773
40.32,5.04724701602242
40.68,5.08474007551515
41.04,5.12362246471
41.4,5.16389290695411
41.76,5.20555009783766
42.12,5.24859270519385
42.48,5.29301936909894
42.84,5.34095342523708
43.2,5.39205397967793
43.56,5.4438049111691
43.92,5.49620616038281
44.28,5.55717208289703
44.64,5.62715494814543
45,5.69789242816498
