"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,3.15820354756482
0.3,3.16676852343034
0.6,3.17544823063546
0.9,3.18424261882305
1.2,3.19315165323338
1.5,3.2021753147041
1.8,3.21131359967032
2.1,3.22056652016453
2.4,3.22993410381663
2.7,3.23941639385397
3,3.2490134491013
3.3,3.25872534398076
3.6,3.26855216851193
3.9,3.2784940283118
4.2,3.28855104459479
4.5,3.29872335417268
4.8,3.30901110945474
5.1,3.31941447844759
5.4,3.3299336447553
5.7,3.34056880757936
6,3.35132018171863
6.3,3.36218799756945
6.6,3.37317250112551
6.9,3.38427395397796
7.2,3.39549263331534
7.5,3.40682883192362
7.8,3.41828285818618
8.1,3.4298550360838
8.4,3.4415457051947
8.7,3.45335522069449
9,3.46528395335622
9.3,3.47733228955033
9.6,3.48950063124469
9.9,3.50178939600457
10.2,3.51419901699268
10.5,3.52672994296911
10.8,3.53938263829141
11.1,3.55215758291449
11.4,3.56505527239072
11.7,3.57807621786986
12,3.59122094609909
12.3,3.60448999942301
12.6,3.61924974153601
12.9,3.63435220546651
13.2,3.64966128435858
13.5,3.66517521967464
13.8,3.68089230278781
14.1,3.69681087498189
14.4,3.71292932745141
14.7,3.72924610130156
15,3.74575968754827
15.3,3.76246862711814
15.6,3.77937151084846
15.9,3.79646697948726
16.2,3.81375372369323
16.5,3.83123048403575
16.8,3.84889605099496
17.1,3.86674926496161
17.4,3.88478901623723
17.7,3.903014245034
18,3.92142394147481
18.3,3.94001714559326
18.6,3.95879294733361
18.9,3.97775048655088
19.2,3.99688895301073
19.5,4.01620758638955
19.8,4.03570567627443
20.1,4.05538256216313
20.4,4.07523763346415
20.7,4.09527032949663
21,4.11548013949049
21.3,4.13586660258627
21.6,4.15642930783524
21.9,4.17716789419938
22.2,4.19808205055135
22.5,4.21917151567452
22.8,4.24043607826295
23.1,4.2618755769214
23.4,4.28348990016533
23.7,4.30527898642091
24,4.32724282402496
24.3,4.34938145122507
24.6,4.37169495617948
24.9,4.39418347695714
25.2,4.42592256263827
25.5,4.46848267677267
25.8,4.51147158810579
26.1,4.55489118930922
26.4,4.59874368407092
26.7,4.64303158709513
27,4.68775772410249
27.3,4.73292523182994
27.6,4.77853755803079
27.9,4.82459846147468
28.2,4.87111201194761
28.5,4.91808259025191
28.8,4.96551488820626
29.1,5.01341390864566
29.4,5.0617849654215
29.7,5.11063368340147
30,5.15996599846964
30.3,5.20978815752637
30.6,5.26010671848844
30.9,5.3109285502889
31.2,5.36226083287719
31.5,5.41411105721907
