"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,36.0593874944803
0.15,36.0596603624043
0.3,36.0599335318695
0.45,36.0602070030158
0.6,36.0604807759848
0.75,36.0607548509207
0.9,36.0610292279693
1.05,36.0613039072788
1.2,36.0615788889991
1.35,36.0618541732825
1.5,36.062129760283
1.65,36.062405650157
1.8,36.0626818430626
1.95,36.0629583391601
2.1,36.063235138612
2.25,36.0635122415826
2.4,36.0637896482383
2.55,36.0640673587477
2.7,36.0643453732813
2.85,36.0646236920117
3,36.0649023151134
3.15,36.0651812427633
3.3,36.0654604751399
3.45,36.0657400124241
3.6,36.0660198547987
3.75,36.0663000024485
3.9,36.0665804555605
4.05,36.0668612143237
4.2,36.0671422789288
4.35,36.0674236495692
4.5,36.0677053264398
4.65,36.0679873097378
4.8,36.0682695996624
4.95,36.0685521964147
5.1,36.0688351001982
5.25,36.0691183112181
5.4,36.0694018296817
5.55,36.0696856557985
5.7,36.06996978978
5.85,36.0702542318397
6,36.070538982193
6.15,36.0708240410577
6.3,36.0711094086533
6.45,36.0713950852016
6.6,36.0716810709263
6.75,36.0719673660532
6.9,36.0722539708101
7.05,36.0725408854269
7.2,36.0728281101355
7.35,36.0731156451698
7.5,36.0734034907661
7.65,36.0736916471622
7.8,36.0739801145982
7.95,36.0742688933164
8.1,36.074557983561
8.25,36.0748473855781
8.4,36.0751370996161
8.55,36.0754271259254
8.7,36.0757174647582
8.85,36.0760081163691
9,36.0763001530151
9.15,36.0768461370306
9.3,36.0773965884078
9.45,36.077951507179
9.6,36.0785108933764
9.75,36.0790747470323
9.9,36.0796430681791
10.05,36.0802158568492
10.2,36.0807931130752
10.35,36.0813748368896
10.5,36.081961028325
10.65,36.0825516874141
10.8,36.0831468141896
10.95,36.0837464086845
11.1,36.0843504709315
11.25,36.0849590009636
11.4,36.0855719988137
11.55,36.086189464515
11.7,36.0868113981005
11.85,36.0874377996035
12,36.0880686690573
12.15,36.088704006495
12.3,36.0893438119501
12.45,36.0899880854561
12.6,36.0906368270464
12.75,36.0912900367544
12.9,36.0919477146141
13.05,36.0926098606588
13.2,36.0932764749225
13.35,36.0939475574389
13.5,36.0946231082419
13.65,36.0953031273654
13.8,36.0959876148434
13.95,36.0966765707101
14.1,36.0973699949993
14.25,36.0980678877455
14.4,36.0987702489827
14.55,36.0994770787454
14.7,36.1001883770678
14.85,36.1009041439845
15,36.1016243795298
15.15,36.1023490837384
15.3,36.1030782566449
15.45,36.1038118982838
15.6,36.10455000869
15.75,36.1052925878983
15.9,36.1060396359436
16.05,36.1067911528607
16.2,36.1075471386846
16.35,36.1083075934504
16.5,36.1090725171933
16.65,36.1098419099484
16.8,36.1106157717507
16.95,36.1113941026359
17.1,36.1121769026391
17.25,36.1129641717958
17.4,36.1137559101414
17.55,36.1145521177116
17.7,36.115352794542
17.85,36.1161579406681
18,36.1169675561257
18.15,36.1177816409507
18.3,36.1186001951789
18.45,36.119423218846
18.6,36.1202507119884
18.75,36.1210826746418
18.9,36.1219191068425
19.05,36.1227600086265
19.2,36.1236053800301
19.35,36.1244552210898
19.5,36.1253095318416
19.65,36.1261683123221
19.8,36.1270315625678
19.95,36.1278992826152
20.1,36.1287714725008
20.25,36.1296481322615
20.4,36.1305292619338
20.55,36.1314148615546
20.7,36.1323049311607
20.85,36.1331994707891
21,36.1340984804767
21.15,36.1350019602605
21.3,36.1359099101777
21.45,36.1368223302654
21.6,36.1377392205608
21.75,36.1386605811012
21.9,36.139586411924
22.05,36.1405167130666
22.2,36.1414514845664
22.35,36.1423907264609
22.5,36.1433344387879
22.65,36.1442826215848
22.8,36.1452352748896
22.95,36.1461923987398
23.1,36.1471539931735
23.25,36.1481200582284
23.4,36.1490905939426
23.55,36.150065600354
23.7,36.1510450775009
23.85,36.1520290254212
24,36.1530174441533
24.15,36.1540103337354
24.3,36.1550076942059
24.45,36.1561375260517
24.6,36.1575283739074
24.75,36.158921438847
24.9,36.1603167209225
25.05,36.161714220186
25.2,36.1631139366898
25.35,36.1645158704867
25.5,36.1659200216294
25.65,36.1673263901707
25.8,36.168734976164
25.95,36.1701457796628
26.1,36.1715588007206
26.25,36.1729740393912
26.4,36.1743914957289
26.55,36.1758111697879
26.7,36.1772330616226
26.85,36.1786571712878
27,36.1800834988385
27.15,36.1815120443297
27.3,36.1829428078168
27.45,36.1843757893553
27.6,36.1858109890011
27.75,36.1872484068101
27.9,36.1886880428386
28.05,36.190129897143
28.2,36.1915739697799
28.35,36.1930202608061
28.5,36.1944687702788
28.65,36.1959194982552
28.8,36.1973724447927
28.95,36.1988276099491
29.1,36.2002849937824
29.25,36.2017445963506
29.4,36.203206417712
29.55,36.2046704579252
29.7,36.2061367170492
29.85,36.2076051951426
30,36.2090758922649
