"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,1.84282452065052
0.3,1.86479535802789
0.6,1.88679015839961
0.9,1.9088089317776
1.2,1.93085168824514
1.5,1.95291843795687
1.8,1.97500919113886
2.1,1.99712395808857
2.4,2.01926274917485
2.7,2.04142557483796
3,2.06361244558955
3.3,2.08582337201269
3.6,2.10805836476181
3.9,2.13031743456277
4.2,2.15260059221283
4.5,2.17490784858062
4.8,2.1972392146062
5.1,2.21959470130101
5.4,2.2419743197479
5.7,2.26437808110111
6,2.28680599658628
6.3,2.30925807750046
6.6,2.33173433521209
6.9,2.35423478116099
7.2,2.37675942685842
7.5,2.39930828388701
7.8,2.4218813639008
8.1,2.44447867862521
8.4,2.46710023985708
8.7,2.48974605946465
9,2.51241614938754
9.3,2.53511052163679
9.6,2.55782918829483
9.9,2.58057216151546
10.2,2.60333945352394
10.5,2.62613107661687
10.8,2.64894704316229
11.1,2.67178736559962
11.4,2.69465205643967
11.7,2.71754112826467
12,2.74045459372824
12.3,2.76339246555539
12.6,2.7907564757247
12.9,2.81901882506019
13.2,2.84775468332743
13.5,2.87696392352607
13.8,2.90664643486214
14.1,2.93680212274802
14.4,2.96743090880247
14.7,2.99853273085065
15,3.03010754292403
15.3,3.06215531526053
15.6,3.0946760343044
15.9,3.12766970270627
16.2,3.16113633932315
16.5,3.19507597921839
16.8,3.22948867366177
17.1,3.26437449012941
17.4,3.2997335123038
17.7,3.33556584007382
18,3.37187158953471
18.3,3.40865089298809
18.6,3.44590389894193
18.9,3.48422379381112
19.2,3.52312155075403
19.5,3.56229480183061
19.8,3.60174338598686
20.1,3.64146728028014
20.4,3.68146659987918
20.7,3.72174159806412
21,3.76229266622649
21.3,3.80312033386919
21.6,3.84422526860649
21.9,3.88560827616408
22.2,3.92727030037899
22.5,3.9692124231997
22.8,4.011435864686
23.1,4.05394198300912
23.4,4.09673227445164
23.7,4.13980837340756
24,4.18317205238223
24.3,4.22682522199241
24.6,4.27076993096622
24.9,4.31500836614319
25.2,4.36447993641617
25.5,4.4201020882218
25.8,4.47624370783663
26.1,4.53290535519393
26.4,4.59008761202759
26.7,4.6477910818721
