"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,10.4607739876993
0.15,10.4611817571367
0.3,10.4615947361557
0.45,10.4620129245506
0.6,10.462436322117
0.75,10.4628649286513
0.9,10.4632987439511
1.05,10.463737767815
1.2,10.4641820000427
1.35,10.4646314404348
1.5,10.4650860887931
1.65,10.4655459449204
1.8,10.4660110086204
1.95,10.4664812796979
2.1,10.4669567579589
2.25,10.4674374432102
2.4,10.4679233352598
2.55,10.4684144339168
2.7,10.4689107389911
2.85,10.4694122502938
3,10.469918967637
3.15,10.4704308908339
3.3,10.4709480196987
3.45,10.4714703540466
3.6,10.4719978936938
3.75,10.4725306384578
3.9,10.4730685881567
4.05,10.4736117426101
4.2,10.4741601016382
4.35,10.4747136650627
4.5,10.475272432706
4.65,10.4758364043917
4.8,10.4764055799442
4.95,10.4769799591894
5.1,10.4775595419537
5.25,10.4781443280649
5.4,10.4787343173518
5.55,10.4793295096441
5.7,10.4799299047726
5.85,10.4805355025693
6,10.4811463028669
6.15,10.4817623054995
6.3,10.4823835103019
6.45,10.4830099171103
6.6,10.4836415257616
6.75,10.484278336094
6.9,10.4849203479466
7.05,10.4855675611595
7.2,10.486219975574
7.35,10.4868775910323
7.5,10.4875404073777
7.65,10.4882084244545
7.8,10.4888816421081
7.95,10.4895600601849
8.1,10.4902436785323
8.25,10.4909324969989
8.4,10.491626515434
8.55,10.4923257336884
8.7,10.4930301516136
8.85,10.4937397690622
9,10.494454585888
9.15,10.4951746019455
9.3,10.4958998170907
9.45,10.4966302311802
9.6,10.4973658440719
9.75,10.4981066556248
9.9,10.4988526656986
10.05,10.4996038741544
10.2,10.5003602808542
10.35,10.5011218856609
10.5,10.5018886884387
10.65,10.5026606890526
10.8,10.5034378873688
10.95,10.5042202832546
11.1,10.505007876578
11.25,10.5058006672084
11.4,10.5065986550161
11.55,10.5074018398725
11.7,10.5082102216498
11.85,10.5090238002216
12,10.5098425754623
12.15,10.5106665472474
12.3,10.5114957154534
12.45,10.5123300799579
12.6,10.5131696406396
12.75,10.5153876909119
12.9,10.5176518409894
13.05,10.5199347368974
13.2,10.5222363786926
13.35,10.5245567664311
13.5,10.5268959001685
13.65,10.5292537799597
13.8,10.5316304058593
13.95,10.5340257779211
14.1,10.5364398961985
14.25,10.5388727607442
14.4,10.5413243716105
14.55,10.543794728849
14.7,10.5462838325109
14.85,10.5487916826467
15,10.5513182793064
15.15,10.5538636225394
15.3,10.5564277123947
15.45,10.5590105489205
15.6,10.5616121321646
15.75,10.5642324621742
15.9,10.566871538996
16.05,10.5695293626761
16.2,10.5722059332601
16.35,10.5749012507928
16.5,10.5776153153188
16.65,10.5803481268818
16.8,10.5830996855253
16.95,10.5858699912919
17.1,10.588659044224
17.25,10.591466844363
17.4,10.5942933917501
17.55,10.5971386864258
17.7,10.6000027284301
17.85,10.6028855178024
18,10.6057870545816
18.15,10.608707338806
18.3,10.6116463705132
18.45,10.6146041497405
18.6,10.6175806765246
18.75,10.6205759509014
18.9,10.6235899729065
19.05,10.6266227425749
19.2,10.629674259941
19.35,10.6327445250385
19.5,10.6358335379009
19.65,10.6389412985607
19.8,10.6420678070503
19.95,10.6452130634011
20.1,10.6483770676443
20.25,10.6515598198104
20.4,10.6547613199293
20.55,10.6579815680304
20.7,10.6612205641425
20.85,10.6644783082939
21,10.6677548005124
21.15,10.671050040825
21.3,10.6743640292584
21.45,10.6776967658386
21.6,10.6810482505911
21.75,10.6844184835409
21.9,10.6878074647123
22.05,10.6912151941291
22.2,10.6946416718146
22.35,10.6980868977916
22.5,10.701550872082
22.65,10.7050335947076
22.8,10.7085350656894
22.95,10.7120552850478
23.1,10.7155942528028
23.25,10.7191519689737
23.4,10.7227284335793
23.55,10.7263236466379
23.7,10.7299376081672
23.85,10.7335703181843
24,10.7372217767057
24.15,10.7408919837475
24.3,10.7445809393252
24.45,10.7482886434537
24.6,10.7520150961472
24.75,10.7557602974197
24.9,10.7595242472843
25.05,10.7633069457537
25.2,10.76710839284
25.35,10.7709285885549
25.5,10.7747675329092
25.65,10.7786252259135
25.8,10.7825016675776
25.95,10.7863968579109
26.1,10.7903107969222
26.25,10.7942434846197
26.4,10.798194921011
26.55,10.8021651061032
26.7,10.8061540399029
26.85,10.8101617224162
27,10.8141881536483
27.15,10.8182333336043
27.3,10.8222972622884
27.45,10.8263799397044
27.6,10.8304813658556
27.75,10.8346015407444
27.9,10.8387404643731
28.05,10.8428981367432
28.2,10.8470745578557
28.35,10.851269727711
28.5,10.8554836463089
28.65,10.8597163136488
28.8,10.8639677297294
28.95,10.8682378945489
29.1,10.872526808105
29.25,10.8768344703947
29.4,10.8811608814146
29.55,10.8855060411605
29.7,10.889869949628
29.85,10.894252606812
30,10.8986540127066
30.15,10.9030741673056
30.3,10.9075130706022
30.45,10.9119707225891
30.6,10.9164471232582
30.75,10.9209422726012
30.9,10.925456170609
31.05,10.9299888172719
31.2,10.9345402125798
31.35,10.9391103565219
31.5,10.9436992490872
31.65,10.9483068902636
31.8,10.9529332800387
31.95,10.9575784183997
32.1,10.9622423053331
32.25,10.9669249408247
32.4,10.9716263248601
32.55,10.9763464574239
32.7,10.9816416307004
32.85,10.9887783862093
33,10.9959737204703
33.15,11.0032276277685
33.3,11.0105401038826
33.45,11.0179111460849
33.6,11.025340753141
33.75,11.0328289253104
33.9,11.0403756643459
34.05,11.0479809734938
34.2,11.0556448574942
34.35,11.0633673225805
34.5,11.0711483764798
34.65,11.0789880284127
34.8,11.0868862890932
34.95,11.0948431707291
35.1,11.1028586870216
35.25,11.1109328531655
35.4,11.1190656858489
35.55,11.127257203254
35.7,11.1355074250559
35.85,11.1438163724237
36,11.1521840680198
36.15,11.1606105360003
36.3,11.1690958020148
36.45,11.1776398932063
36.6,11.1862428382116
36.75,11.1949046671609
36.9,11.2036254116778
37.05,11.2124051048799
37.2,11.2212437813777
37.35,11.2301414772759
37.5,11.2390982301722
37.65,11.2481140791582
37.8,11.257189064819
37.95,11.266323229233
38.1,11.2755166159724
38.25,11.2847692701029
38.4,11.2940812381836
38.55,11.3034525682674
38.7,11.3128833099005
38.85,11.3223735141227
39,11.3319232334674
39.15,11.3415325219617
39.3,11.3512014351259
39.45,11.360930029974
39.6,11.3707183650137
39.75,11.3805665002461
39.9,11.3904744971657
40.05,11.4004424187608
40.2,11.4104703295132
40.35,11.4205582953981
40.5,11.4307063838844
40.65,11.4409146639344
40.8,11.4511832060041
40.95,11.4615120820429
41.1,11.471901365494
41.25,11.4823511312936
41.4,11.4928614558721
41.55,11.5034324171531
41.7,11.5140640945538
41.85,11.5250691784814
42,11.5366963234508
42.15,11.5484144357756
42.3,11.5602233991774
42.45,11.5721230991309
42.6,11.5841134228632
42.75,11.5961942593542
42.9,11.6083654993367
43.05,11.6206270352962
43.2,11.6329787614706
43.35,11.6454205738511
43.5,11.6579523701811
43.65,11.6705740499571
43.8,11.6832855144281
43.95,11.6960866665961
44.1,11.7089774112155
44.25,11.7219576547938
44.4,11.7350273055909
44.55,11.7481862736196
44.7,11.7614344706456
44.85,11.7747718101869
45,11.7881982075148
45.15,11.8017135796527
45.3,11.8153178453773
45.45,11.8290109252177
45.6,11.8427927414559
45.75,11.8566632181266
45.9,11.8706222810171
46.05,11.8846698576676
46.2,11.8988058773711
46.35,11.913030271173
46.5,11.9273429718718
46.65,11.9417439140186
46.8,11.9562330339173
46.95,11.9708102696242
47.1,11.9854755609489
47.25,12.0002288494532
47.4,12.0150700784521
47.55,12.0299991930129
47.7,12.045016139956
47.85,12.0601208678543
48,12.0753133270335
48.15,12.0905934695721
48.3,12.1059612493013
48.45,12.121416621805
48.6,12.1369595444199
48.75,12.1525899762354
48.9,12.1683078780936
49.05,12.1841132125893
49.2,12.2000059440703
49.35,12.2159860386368
49.5,12.2320534641418
49.65,12.2482081901914
49.8,12.2644501881439
49.95,12.2807794311106
50.1,12.2971958939557
50.25,12.3136995532958
50.4,12.3302903875004
50.55,12.3469683766919
50.7,12.363733502745
50.85,12.3805857492876
51,12.4007381673743
51.15,12.4242544514842
51.3,12.4478832045519
51.45,12.471624529926
51.6,12.4954785312729
51.75,12.5194453125765
51.9,12.5435249781384
52.05,12.5677176325776
52.2,12.5920233808311
52.35,12.616442328153
52.5,12.6409745801155
52.65,12.665620242608
52.8,12.6903794218377
52.95,12.7152522243295
53.1,12.7402387569258
53.25,12.7653391267865
53.4,12.7905534413893
53.55,12.8158818085294
53.7,12.8413243363198
53.85,12.8668811331907
54,12.8925523078903
54.15,12.9183379694843
54.3,12.9442382273559
54.45,12.970253191206
54.6,12.9963829710531
54.75,13.0226276772333
54.9,13.0489874204003
55.05,13.0754623115255
55.2,13.1020524618977
55.35,13.1287579831235
55.5,13.1555789871272
55.65,13.1825155861503
55.8,13.2095678927523
55.95,13.2367360198101
56.1,13.2640200805184
56.25,13.2914201883893
56.4,13.3189364572527
56.55,13.3465690012558
56.7,13.3743179348639
56.85,13.4021833728594
57,13.4301654303426
57.15,13.4619644913467
57.3,13.4959283459859
57.45,13.5303778829406
57.6,13.565313448792
57.75,13.6007353916632
57.9,13.6366440612199
58.05,13.6730398086699
58.2,13.709922986763
58.35,13.7472939497917
58.5,13.7851530535904
58.65,13.8235006555359
58.8,13.8623371145472
58.95,13.9016627910856
59.1,13.9414780471544
59.25,13.9817832462996
59.4,14.022578753609
59.55,14.0638649357128
59.7,14.1056421607836
59.85,14.1479107985361
60,14.1906712202272
60.15,14.233923798656
60.3,14.2776689081641
60.45,14.3219069246352
60.6,14.3666382254951
60.75,14.4118631897121
60.9,14.4575821977966
61.05,14.5037956318012
61.2,14.5505038753209
61.35,14.5977073134927
61.5,14.6454063329962
61.65,14.6936013220529
61.8,14.7422926704268
61.95,14.7914807694239
62.1,14.8411660118927
62.25,14.8913487922238
62.4,14.94202950635
62.55,14.9932085517464
62.7,15.0448863274304
62.85,15.0970632339617
63,15.1497396734419
63.15,15.2029160495152
63.3,15.2600970451275
63.45,15.3185230831422
63.6,15.3776600976463
63.75,15.4375107745426
63.9,15.4980779270391
64.05,15.559364495649
64.2,15.6213735481911
64.35,15.6841082797891
64.5,15.7475720128724
64.65,15.8117681971752
64.8,15.8767004097376
64.95,15.9423723549045
65.1,16.0087878643262
65.25,16.0759508969585
65.4,16.1438655390623
65.55,16.2125360042038
65.7,16.2819666332546
65.85,16.3521618943916
66,16.4231263830968
66.15,16.4948648221576
66.3,16.5673820616669
66.45,16.6406830790225
66.6,16.7147729789278
66.75,16.7896569933914
66.9,16.8653404817271
67.05,16.9418289305542
67.2,17.0191279537972
67.35,17.1009873774897
67.5,17.2014477185891
67.65,17.3054823929113
67.8,17.4130852953294
67.95,17.524250502965
68.1,17.638972275188
68.25,17.7572450536166
68.4,17.8790634621173
68.55,18.0044223068049
68.7,18.1333165760428
68.85,18.2657414404423
69,18.4016922528634
69.15,18.5411645484141
69.3,18.684154044451
69.45,18.8306566405788
69.6,18.9806684186507
69.75,19.1341856427681
69.9,19.2912047592809
70.05,19.4517223967871
70.2,19.6157353661333
70.35,19.783240660414
70.5,19.9542354549725
70.65,20.1287171074001
70.8,20.3066831575366
70.95,20.4881313274699
71.1,20.6730595215367
71.25,20.8614658263213
71.4,21.0533485106571
71.55,21.3151466188644
71.7,21.6440290930757
71.85,21.976876636257
72,22.3136873348635
72.15,22.6544605542548
72.3,22.9991969386945
72.45,23.3478984113497
72.6,23.7005681742918
72.75,24.0572107084963
72.9,24.4178317738423
73.05,25.0927960171062
73.2,24.5875600582405
73.35,24.0829153732691
73.5,23.5789152405887
73.65,23.0756215189856
73.8,22.5731046476348
73.95,22.0714436461007
74.1,21.5707261143367
74.25,21.0710482326855
74.4,20.5725147618787
74.55,20.0752390430375
74.7,19.5793429976718
74.85,19.0849571276809
75,18.5922205153542
75.15,18.1488104113142
75.3,17.7089468190989
75.45,17.2727064054508
75.6,16.8401787077192
75.75,16.4114661338586
75.9,15.9866839624292
76.05,15.5659603425967
76.2,15.1494362941321
76.35,14.7372657074119
76.5,14.3296153434183
