"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,3.96194126863108
0.15,3.96283182045657
0.3,3.9637376390781
0.45,3.96465872413
0.6,3.96559507524119
0.75,3.96654669203522
0.9,3.96751357413027
1.05,3.9684957211391
1.2,3.9694931326691
1.35,3.97050580832227
1.5,3.97153374769522
1.65,3.97257695037917
1.8,3.97363541595997
1.95,3.97470914401805
2.1,3.97579813412846
2.25,3.9769023858609
2.4,3.97802189877963
2.55,3.97915667244356
2.7,3.98030670640619
2.85,3.98147200021564
3,3.98265255341465
3.15,3.98384836554055
3.3,3.9850594361253
3.45,3.98628576469548
3.6,3.98752735077226
3.75,3.98878419387143
3.9,3.9900562935034
4.05,3.99134364917319
4.2,3.99264626038042
4.35,3.99396412661933
4.5,3.99529724737879
4.65,3.99664562214225
4.8,3.99800925038779
4.95,3.99938813158811
5.1,4.00078226521049
5.25,4.00219165071686
5.4,4.00361628756374
5.55,4.00505617520227
5.7,4.0065113130782
5.85,4.00798170063189
6,4.00946733729832
6.15,4.01096822250708
6.3,4.01248435568235
6.45,4.01401573624295
6.6,4.01556236360231
6.75,4.01712423716846
6.9,4.01870135634405
7.05,4.02029372052633
7.2,4.02190132910718
7.35,4.02352418147308
7.5,4.02516227700512
7.65,4.02681561507903
7.8,4.0284841950651
7.95,4.03016801632828
8.1,4.0318670782281
8.25,4.03358138011873
8.4,4.03531092134894
8.55,4.0370557012621
8.7,4.0388157191962
8.85,4.04059097448387
9,4.0423814664523
9.15,4.04418719442331
9.3,4.04600815771338
9.45,4.04784435563353
9.6,4.04969578748943
9.75,4.05156245258138
9.9,4.05344435020424
10.05,4.05534147964752
10.2,4.05725384019535
10.35,4.05918143112644
10.5,4.06112425171414
10.65,4.06308230122638
10.8,4.06505557892574
10.95,4.06704408406939
11.1,4.06904781590912
11.25,4.07106677369132
11.4,4.07310095665699
11.55,4.07515036404178
11.7,4.07721499507591
11.85,4.07929484898424
12,4.08138992498621
12.15,4.0835002222959
12.3,4.08562574012199
12.45,4.08776647766778
12.6,4.08992243413118
12.75,4.09479065085077
12.9,4.09974619846152
13.05,4.10473527173326
13.2,4.10975786805614
13.35,4.1148139848218
13.5,4.11990361942335
13.65,4.12502676925541
13.8,4.1301834317141
13.95,4.13537360419703
14.1,4.14059728410331
14.25,4.14585446883354
14.4,4.15114515578982
14.55,4.15646934237572
14.7,4.16182702599636
14.85,4.16721820405831
15,4.17264287396964
15.15,4.17810103313994
15.3,4.18359267898028
15.45,4.18911780890321
15.6,4.19467642032281
15.75,4.20026851065462
15.9,4.2058940773157
16.05,4.21155311772459
16.2,4.21724562930134
16.35,4.2229716094675
16.5,4.22873105564607
16.65,4.23452396526162
16.8,4.24035033574013
16.95,4.24621016450916
17.1,4.25210344899771
17.25,4.25803018663629
17.4,4.26399037485691
17.55,4.26998401109306
17.7,4.27601109277975
17.85,4.28207161735347
18,4.28816558225221
18.15,4.29429298491545
18.3,4.30045382278418
18.45,4.30664809330085
18.6,4.31287579390945
18.75,4.31913692205545
18.9,4.32543147518579
19.05,4.33175945074895
19.2,4.33812084619487
19.35,4.34451565897499
19.5,4.35094388654227
19.65,4.35740552635114
19.8,4.36390057585753
19.95,4.37042903251887
20.1,4.3769908937941
20.25,4.38358615714362
20.4,4.39021482002935
20.55,4.39687687991471
20.7,4.40357233426461
20.85,4.41030118054543
21,4.41706341622509
21.15,4.42385903877297
21.3,4.43068804565997
21.45,4.43755043435846
21.6,4.44444620234233
21.75,4.45137534708695
21.9,4.4583378660692
22.05,4.46533375676743
22.2,4.4723630166615
22.35,4.47942564323279
22.5,4.48652163396413
22.65,4.49365098633988
22.8,4.50081369784588
22.95,4.50800976596946
23.1,4.51523918819947
23.25,4.52250196202623
23.4,4.52979808494156
23.55,4.53712755443878
23.7,4.54449036801273
23.85,4.55188652315969
24,4.55931601737749
24.15,4.56677884816542
24.3,4.57427501302427
24.45,4.58180450945636
24.6,4.58936733496545
24.75,4.59696348705684
24.9,4.60459296323731
25.05,4.61225576101513
25.2,4.61995187790007
25.35,4.6276813114034
25.5,4.63544405903788
25.65,4.64324011831776
25.8,4.6510694867588
25.95,4.65893216187825
26.1,4.66682814119485
26.25,4.67475742222884
26.4,4.68272000250195
26.55,4.69071587953741
26.7,4.69874505085995
26.85,4.70680751399579
27,4.71490326647264
27.15,4.72303230581972
27.3,4.73119462956773
27.45,4.73939023524887
27.6,4.74761912039686
27.75,4.75588128254686
27.9,4.76417671923559
28.05,4.77250542800121
28.2,4.78086740638341
28.35,4.78926265192337
28.5,4.79769116216375
28.65,4.80615293464872
28.8,4.81464796692394
28.95,4.82317625653659
29.1,4.8317378010353
29.25,4.84033259797021
29.4,4.84896064489298
29.55,4.85762193935673
29.7,4.86631647891612
29.85,4.87504426112728
30,4.88380528354781
30.15,4.89259954373684
30.3,4.90142703925499
30.45,4.91028776766438
30.6,4.9191817265286
30.75,4.92810891341277
30.9,4.93706932588349
31.05,4.94606296150883
31.2,4.95508981785839
31.35,4.96414989250326
31.5,4.97324318301602
31.65,4.98236968697076
31.8,4.991529401943
31.95,5.00072232550986
32.1,5.00994845524988
32.25,5.01920778874311
32.4,5.02850032357112
32.55,5.03782605731696
32.7,5.04796882457588
32.85,5.06070305948017
33,5.07351013373205
33.15,5.08639000700997
33.3,5.09934264331972
33.45,5.11236801099448
33.6,5.1254660826947
33.75,5.13863683540822
33.9,5.15188025045022
34.05,5.16519631346317
34.2,5.17858501441695
34.35,5.19204634760873
34.5,5.20558031166302
34.65,5.21918690953173
34.8,5.23286614849404
34.95,5.24661804015649
35.1,5.26044260045299
35.25,5.27433984964476
35.4,5.28830981232035
35.55,5.30235251739569
35.7,5.31646799811403
35.85,5.33065629204595
36,5.34491744108939
36.15,5.35925149146961
36.3,5.37365849373922
36.45,5.38813850277818
36.6,5.40269157779377
36.75,5.41731778232063
36.9,5.43201718422074
37.05,5.4467898556834
37.2,5.46163587322526
37.35,5.47655531769032
37.5,5.49154827424992
37.65,5.5066148324027
37.8,5.52175508597472
37.95,5.53696913311931
38.1,5.55225707631716
38.25,5.56761902237632
38.4,5.58305508243216
38.55,5.59856537194738
38.7,5.61415001071205
38.85,5.62980912284357
39,5.64554283678667
39.15,5.66135128531343
39.3,5.67723460552327
39.45,5.69319293884293
39.6,5.70922643102653
39.75,5.7253352321555
39.9,5.74151949663861
40.05,5.75777938321198
40.2,5.77411505493909
40.35,5.79052667921071
40.5,5.807014427745
40.65,5.82357847658744
40.8,5.84021900611084
40.95,5.85693620101536
41.1,5.87373025032853
41.25,5.89060134740514
41.4,5.9075496899274
41.55,5.92457547990486
41.7,5.94167892367433
41.85,5.95928424085632
42,5.977717892246
42.15,5.99625440115128
42.3,6.01489349721164
42.45,6.03363491562558
42.6,6.05247839715065
42.75,6.07142368810331
42.9,6.09047054035901
43.05,6.10961871135224
43.2,6.12886796407644
43.35,6.14821806708405
43.5,6.16766879448648
43.65,6.18721992595415
43.8,6.20687124671645
43.95,6.22662254756176
44.1,6.24647362483749
44.25,6.26642428044994
44.4,6.2864743218645
44.55,6.30662356210549
44.7,6.32687181975623
44.85,6.34721891895904
45,6.3676646894152
45.15,6.38820896638501
45.3,6.40885159068772
45.45,6.42959240870162
45.6,6.45043127236393
45.75,6.47136803917089
45.9,6.49240257217772
46.05,6.51353473999864
46.2,6.53476441680683
46.35,6.55609148233447
46.5,6.57751582187275
46.65,6.59903732627181
46.8,6.62065589194081
46.95,6.64237142084787
47.1,6.66418382052012
47.25,6.68609300404365
47.4,6.70809889006358
47.55,6.73020140278396
47.7,6.75240047196789
47.85,6.77469603293742
48,6.79708802657357
48.15,6.8195763993164
48.3,6.84216110316493
48.45,6.86484209567713
48.6,6.88761933997004
48.75,6.91049280471961
48.9,6.93346246416082
49.05,6.95652829808763
49.2,6.97969029185296
49.35,7.00294843636878
49.5,7.02630272810597
49.65,7.04975316909446
49.8,7.07329976692314
49.95,7.09694253473986
50.1,7.12068149125153
50.25,7.14451666072399
50.4,7.16844807298208
50.55,7.19247576340963
50.7,7.21659977294945
50.85,7.24082014810334
51,7.26777887520818
51.15,7.29765080342094
51.3,7.32780356765716
51.45,7.35823712684166
51.6,7.38895144000835
51.75,7.41994646630029
51.9,7.45122216496963
52.05,7.48277849537767
52.2,7.51461541699485
52.35,7.54673288940069
52.5,7.57913087228386
52.65,7.61180932544216
52.8,7.64476820878251
52.95,7.67800748232096
53.1,7.71152710618266
53.25,7.74532704060192
53.4,7.77940724592214
53.55,7.81376768259589
53.7,7.84840831118483
53.85,7.88332909235974
54,7.91852998690054
54.15,7.95401095569629
54.3,7.98977195974513
54.45,8.02581296015438
54.6,8.06213391814045
54.75,8.09873479502886
54.9,8.13561555225431
55.05,8.17277615136057
55.2,8.21021655400055
55.35,8.24793672193632
55.5,8.28593661703903
55.65,8.32421620128896
55.8,8.36277543677555
55.95,8.40161428569732
56.1,8.44073271036195
56.25,8.48013067318622
56.4,8.51980813669608
56.55,8.55976506352651
56.7,8.60000141642172
56.85,8.640517158235
57,8.68131225192873
57.15,8.72192604103211
57.3,8.76279097169234
57.45,8.80415974157743
57.6,8.84603294719402
57.75,8.88841122306822
57.9,8.9312952417457
58.05,8.97468571379159
58.2,9.01858338779055
58.35,9.06298905034669
58.5,9.10790352608366
58.65,9.15332767764462
58.8,9.19926240569219
58.95,9.24570864890851
59.1,9.29266738399525
59.25,9.34013962567353
59.4,9.38812642668398
59.55,9.43662887778676
59.7,9.4856481077615
59.85,9.53518528340737
60,9.58524160954297
60.15,9.63581832900647
60.3,9.6869167226555
60.45,9.73853810936721
60.6,9.79068384603825
60.75,9.84335532758475
60.9,9.89655398694234
61.05,9.95028129506618
61.2,10.0045387609309
61.35,10.0593279315307
61.5,10.1146503918792
61.65,10.1705077650094
61.8,10.2269017119742
61.95,10.2838339318455
62.1,10.3413061617152
62.25,10.3993201766942
62.4,10.4578777899132
62.55,10.5169808525225
62.7,10.5766312536915
62.85,10.6368309206096
63,10.6975818184853
63.15,10.7588859505467
63.3,10.8259134999642
63.45,10.894498063329
63.6,10.9638424024254
63.75,11.0339479371691
63.9,11.1048163759742
64.05,11.1764497157541
64.2,11.2488502419208
64.35,11.3220205283852
64.5,11.3959634375571
64.65,11.470682120345
64.8,11.5461800161564
64.95,11.6224608528975
65.1,11.6995286469734
65.25,11.7773877032883
65.4,11.8560426152447
65.55,11.9354982647445
65.7,12.0157598221881
65.85,12.0968327464748
66,12.1787227850029
66.15,12.2614359736693
66.3,12.34497863687
66.45,12.4293573874997
66.6,12.5145791269519
66.75,12.600651045119
66.9,12.6875806203923
67.05,12.775375619662
67.2,12.864044098317
67.35,12.956998716743
67.5,13.0672610422502
67.65,13.1813430851766
67.8,13.2992419387157
67.95,13.4209547880272
68.1,13.5464789102369
68.25,13.6758116744373
68.4,13.8089505416871
68.55,13.9458930650112
68.7,14.086636889401
68.85,14.2311797518141
69,14.3795194811747
69.15,14.531653998373
69.3,14.6875813162657
69.45,14.8472995396759
69.6,15.0108068653929
69.75,15.1781015821724
69.9,15.3491820707365
70.05,15.5240468037734
70.2,15.702694345938
70.35,15.8851233538512
70.5,16.0713325761005
70.65,16.2613208532394
70.8,16.4550871177882
70.95,16.652630394233
71.1,16.8539497990268
71.25,17.0590445405885
71.4,17.2679139193035
71.55,17.5322154977968
71.7,17.8500457507368
71.85,18.1724301459639
72,18.499373027852
72.15,18.8308790124353
72.3,19.1669529874088
72.45,19.5076001121273
72.6,19.8528258176063
72.75,20.2026358065219
72.9,20.5570360532102
73.05,21.2961079448019
73.2,20.8121859577114
73.35,20.3289656762387
73.5,19.8465204646024
73.65,19.3649388297362
73.8,18.8843244212886
73.95,18.4047960316232
74.1,17.9264875958182
74.25,17.4495481916668
74.4,16.974142039677
74.55,16.500448503072
74.7,16.0286620877897
74.85,15.5589924424827
75,15.0916643585197
75.15,14.6742000723154
75.3,14.2615428315575
75.45,13.8538653925529
75.6,13.4513752216454
75.75,13.0543144952151
75.9,12.6629600996782
76.05,12.2776236314876
76.2,11.8986513971318
76.35,11.526424413136
76.5,11.1613584060613
76.65,10.8039038125053
76.8,10.4545457791017
76.95,10.1138041625202
77.1,11.0555040761021
77.25,11.6873294454544
77.4,12.3394558936412
77.55,13.0111836202557
77.7,13.701900101674
77.85,14.411080091054
78,15.1382856183378
78.15,15.2796271505723
78.3,14.9307748854062
78.45,14.5820638226803
78.6,14.2336630432728
78.75,13.8857737120583
78.9,13.5386290779068
79.05,13.1924944736846
79.2,12.8476673162538
79.35,12.5044771064723
79.5,12.1632854291941
79.65,11.8244859532691
79.8,11.4885044315431
79.95,11.1557987008579
80.1,10.8358365932565
80.25,10.5267913683626
80.4,10.2250697507359
80.55,9.93117147392679
80.7,9.64564015673362
80.85,9.36906330320235
81,9.10207230262661
81.15,8.8453424295478
81.3,8.59959284375506
81.45,8.36558659028516
81.6,8.14413059942265
81.75,7.93607568669975
81.9,7.74231655289643
82.05,8.07943179583925
82.2,8.57447151808033
82.35,9.10326199027777
82.5,9.65766193851837
82.65,10.2308619972898
82.8,10.817384709481
82.95,11.4130845263817
83.1,11.9692284835766
83.25,11.66880886431
83.4,11.3704051756781
83.55,11.0743791709123
83.7,10.7811614823625
83.85,10.4912516214973
84,10.2052179789039
84.15,9.92369782428813
84.3,9.64739730647435
84.45,9.37709145340565
84.6,9.11362417214362
84.75,8.85790824886855
84.9,8.61092534887938
85.05,8.37512184793816
85.2,8.15397423538191
85.35,7.94636648151778
85.5,7.75343409220521
85.65,7.57622508394997
85.8,7.41569998390406
85.95,7.27273182986595
86.1,7.1481061702803
86.25,7.04252106423824
86.4,6.95658708147718
86.55,6.89082730238082
86.7,6.84567731797928
86.85,6.82148522994895
87,6.81851165061336
87.15,6.9610409624092
87.3,7.16655018531819
87.45,7.44461332985796
87.6,7.78436037052948
87.75,8.17537593085507
87.9,8.60769928337831
88.05,9.26140433483918
88.2,9.00859980223563
88.35,8.76255491847991
88.5,8.52425944410385
88.65,8.29476830928373
88.8,8.07520161384025
88.95,7.86674462723856
89.1,7.67064778858824
89.25,7.48822670664323
89.4,7.32086215980197
89.55,7.17000009610729
89.7,7.03715163324648
89.85,6.9238930585512
90,6.83186582899795
90.15,6.76018668916621
90.3,6.71089209045346
90.45,6.68405724168051
90.6,6.67960490536964
90.75,6.69730539774424
90.9,6.7367765887288
91.05,6.79748390194885
91.2,6.87874031473106
91.35,6.97970635810316
91.5,7.09939011679395
91.65,7.23664722923338
91.8,7.39018088755239
91.95,7.55854183758312
92.1,7.10253207342989
92.25,6.80521689044355
92.4,6.59616011257907
92.55,6.4799081574762
92.7,6.45735772373387
92.85,6.52575579091052
93,6.67869961952459
93.15,6.76949669262261
93.3,6.63920348030469
93.45,6.5282680336322
93.6,6.43839297306607
93.75,6.37101841213845
93.9,6.32732195745266
94.05,6.30821870868327
94.2,6.31436125857603
94.35,6.34613969294792
94.5,6.40368159068711
94.65,6.48685202375301
94.8,6.59525355717623
94.95,6.72822624905854
95.1,6.88364963519275
95.25,7.05937941494253
95.4,7.25400425327073
95.55,7.46586289994781
95.7,7.69339304883761
95.85,7.93513133789727
96,8.18971334917713
96.15,8.45587360882094
96.3,8.73244558706558
96.45,9.01836169824132
96.6,9.3126533007717
96.75,9.61445069717358
96.9,9.92298313405703
97.05,9.43174382807848
97.2,8.83675449910494
97.35,8.2659629815644
97.5,7.72419208116114
97.65,7.21757250145093
97.8,6.75354284384071
97.95,6.34084960758879
98.1,5.96947566171996
98.25,6.12541710650532
98.4,6.31065341593996
98.55,6.52312072833282
98.7,6.76084790393501
98.85,7.0219565249399
99,7.30466089548309
99.15,7.60726804164233
99.3,7.92817771143779
99.45,8.26588237483166
99.6,8.61896722372846
99.75,8.98611017197503
99.9,9.36608185536018
100.05,9.76819135200826
100.2,10.2016564836146
100.35,10.6446491795692
100.5,11.0964208866192
100.65,11.5562832779014
100.8,12.0236082529433
100.95,12.4978279376621
101.1,12.9784346843651
101.25,13.4649810717501
101.4,13.9570799049043
101.55,14.454404215306
101.7,14.9566872608226
