"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,0.0183649808542538
0.3,0.0219421917464757
0.6,0.0257002168286451
0.9,0.0296371025715598
1.2,0.0337509320465318
1.5,0.0380398249253871
1.8,0.0425019374804642
2.1,0.0471354625846167
2.4,0.0519386297112117
2.7,0.0569097049341298
3,0.0620469909277662
3.3,0.0673488269670282
3.6,0.0728135889273382
3.9,0.0784396892846325
4.2,0.0842255771153605
4.5,0.0901697380964861
4.8,0.0962706945054857
5.1,0.102527005220351
5.4,0.108937265719586
5.7,0.115500108082211
6,0.122214200987756
6.3,0.12907824971627
6.6,0.136090996148311
6.9,0.143251218764952
7.2,0.150557732647783
7.5,0.158009389478903
7.8,0.165605077540929
8.1,0.173343721716989
8.4,0.181224283490724
8.7,0.189245760946294
9,0.197407188768366
9.3,0.205707638242126
9.6,0.21414621725327
9.9,0.222722070288011
10.2,0.231434378433075
10.5,0.240282359375698
10.8,0.249265267403637
11.1,0.258382393405156
11.4,0.267633064869036
11.7,0.277016645884573
12,0.286532537141571
12.3,0.296180175930357
12.6,0.305959036141761
12.9,0.315868628267139
13.2,0.325908499398348
13.5,0.336078233227769
13.8,0.346377450048292
14.1,0.356805806753319
14.4,0.367362996836771
14.7,0.378048750393081
15,0.38886283411719
15.3,0.399805051304564
15.6,0.41087524185117
15.9,0.422073282253503
16.2,0.433399085608558
16.5,0.444852601613849
16.8,0.456433816567411
17.1,0.468142753367779
17.4,0.479979471514015
17.7,0.491944067105687
18,0.504036672842876
18.3,0.516257458026184
18.6,0.528606628556719
18.9,0.541084426936108
19.2,0.553691132266488
19.5,0.566427060250514
19.8,0.579292563191351
20.1,0.592288029992678
20.4,0.605413886158694
20.7,0.618670593794099
21,0.632058651604121
21.3,0.645578594894494
21.6,0.659230995571464
21.9,0.673016462141799
22.2,0.686935639712771
22.5,0.700989209992173
22.8,0.715177891288309
23.1,0.729502438509998
23.4,0.743963643166568
23.7,0.758562333367867
24,0.773299373824255
24.3,0.788175665846608
24.6,0.803192147346308
24.9,0.818349792835255
25.2,0.83364961342587
25.5,0.849092656831075
25.8,0.864680007364314
26.1,0.880412785939546
26.4,0.917634282874251
26.7,0.96815617481428
27,1.01993148918391
27.3,1.07295862269292
27.6,1.12723604395317
27.9,1.18276229347867
28.2,1.23953598368549
28.5,1.29755579889183
28.8,1.35682049531799
29.1,1.41732890108637
29.4,1.47907991622146
29.7,1.5420725126499
30,1.60630573420038
30.3,1.67177869660373
30.6,1.73849058749288
30.9,1.80644066640285
31.2,1.87562826477077
31.5,1.94605278593588
31.8,2.01771370513954
32.1,2.09061056952517
32.4,2.16474299813834
32.7,2.2401106819267
33,2.31671338374
33.3,2.39455093833012
33.6,2.47362325235102
33.9,2.55393030435878
34.2,2.63547214481158
34.5,2.71824889606968
34.8,2.8022607523955
35.1,2.88750797995351
35.4,2.97399091681031
35.7,3.06170997293461
36,3.1506656301972
36.3,3.240858442371
36.6,3.33228903513102
36.9,3.42495810605439
37.2,3.51886642462032
37.5,3.61401483221014
37.8,3.71040424210727
38.1,3.80803563949727
38.4,3.90691008146779
38.7,4.05177351408468
39,4.21488365366164
39.3,4.3800151970026
39.6,4.54704383768413
39.9,4.71588809859875
40.2,4.88650933195493
40.5,5.058911719277
40.8,5.23314227140529
41.1,5.409290828496
41.4,5.58749006002129
41.7,5.80156702501769
42,6.02889702711248
42.3,6.26209985393041
42.6,6.50114872650469
42.9,6.74603138672349
43.2,6.99675009732974
43.5,7.25332164192133
43.8,7.51577732495095
44.1,7.78416297172615
44.4,8.05853892840941
44.7,8.39545188972282
45,8.7543797022048
45.3,9.12923277543584
45.6,9.52029175929923
45.9,9.92805096784432
46.2,10.3532183792866
46.5,10.9671810859375
46.8,11.6193724360255
47.1,12.3005659122158
47.4,13.0107694836258
47.7,13.7499842850564
48,14.518204616989
48.3,14.255584533642
48.6,13.3770167445253
48.9,12.5219821688972
49.2,11.6944158110776
49.5,10.899345472569
49.8,10.1428917520554
50.1,9.45496170243967
50.4,8.86433175411566
50.7,8.33320882578817
51,7.86988371937333
51.3,7.48216812482372
51.6,7.17739462012839
51.9,6.96241667131288
52.2,7.6183565431804
52.5,8.5726466290231
52.8,9.67944617729363
53.1,10.8079101579628
53.4,10.3154956226569
53.7,9.84752541109999
54,9.40892181513447
54.3,9.00525255698893
54.6,8.64273078927865
54.9,8.32821509500528
55.2,8.06729422337774
55.5,7.86729668030049
55.8,7.73197609939998
56.1,7.66237583143884
56.4,7.6579500390312
56.7,7.71656369664278
57,7.83449259059042
57.3,7.87337827716009
57.6,8.27802022899016
57.9,8.98426821910631
58.2,9.4476505474097
58.5,9.12300745303674
58.8,8.83327928983305
59.1,8.58360680665789
59.4,8.37904768675396
59.7,8.2245765477475
60,8.12508494164777
60.3,8.07680080241561
60.6,8.08666770160726
60.9,8.15224610022983
61.2,8.270375306368
61.5,8.43717347518437
61.8,8.64803760891961
62.1,8.43591288171495
62.4,8.15116441135027
62.7,8.20613109908006
63,8.56631567131412
63.3,8.57229546691365
63.6,8.37707454810957
63.9,8.22701216712036
64.2,8.12643681014252
64.5,8.0789749185409
64.8,8.0875508888486
65.1,8.15247149975878
65.4,8.2711552062155
65.7,8.44282467929543
66,8.66254883391478
66.3,8.92532389929711
66.6,9.22607341897312
66.9,9.55964825078081
67.2,8.73030355249367
67.5,8.09960517080515
67.8,7.7799897793982
68.1,7.79035982352931
68.4,7.69094519042198
68.7,7.65232533985462
69,7.67768470987396
69.3,7.7686164591313
69.6,7.92512246688239
69.9,8.14561333298736
70.2,8.42473778337207
70.5,8.75651473764196
70.8,9.1344975428506
71.1,9.55198540725475
71.4,10.0029251135042
71.7,10.4819110186415
72,10.9841850541019
72.3,9.31133802857057
72.6,8.26578510329722
72.9,7.41565976497203
73.2,7.02773582250305
73.5,7.27116198402097
73.8,7.60331848887756
74.1,8.01692784456107
74.4,8.50423977337986
74.7,9.0570312124623
75,9.66660631375649
75.3,10.3915019944885
75.6,11.1589404240185
75.9,11.9622034484495
76.2,12.7956440446422
76.5,13.6546863202156
76.8,14.5358255135469
77.1,14.4369451742742
77.4,13.5722025284852
77.7,12.7496756879423
78,11.9688634235801
78.3,11.2923801892847
78.6,10.7128045219445
78.9,10.1745682682183
79.2,9.67627630868402
79.5,9.30331322340465
79.8,8.97361887518429
80.1,8.65331305212695
80.4,8.34238563206407
80.7,8.04082674908815
81,7.74862679355279
81.3,7.46577641207266
81.6,7.19226650752351
81.9,6.92808823904219
82.2,6.67323302202659
82.5,6.42769252813568
82.8,6.19145868528953
83.1,5.96452367766923
83.4,5.74687994571704
83.7,5.5419965722668
84,5.37152193759324
84.3,5.20223860469999
84.6,5.03413492353698
84.9,4.86720190843354
85.2,4.70143323809846
85.5,4.53682525561986
85.8,4.37337696846533
86.1,4.21109004848182
86.4,4.04996883189571
