"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,12.6619020067434
0.3,12.6700309179304
0.6,12.6781667766936
0.9,12.6863095823023
1.2,12.6944593340343
1.5,12.702616031176
1.8,12.7107796730222
2.1,12.7189502588764
2.4,12.7271277880505
2.7,12.7353122598651
3,12.7435036736494
3.3,12.7517020287409
3.6,12.7599073244858
3.9,12.7681195602388
4.2,12.7763387353634
4.5,12.7845648492313
4.8,12.7927979012228
5.1,12.801037890727
5.4,12.8092848171414
5.7,12.8175386798719
6,12.8257994783331
6.3,12.8340672119483
6.6,12.8423418801491
6.9,12.8506234823757
7.2,12.8589120180769
7.5,12.8672074867101
7.8,12.8755098877412
8.1,12.8838192206446
8.4,12.8921354849032
8.7,12.9004586800087
9,12.9087888054611
9.3,12.9171258607691
9.6,12.9254698454498
9.9,12.933820759029
10.2,12.942178601041
10.5,12.9505433710286
10.8,12.9589150685432
11.1,12.9672936931447
11.4,12.9756792444017
11.7,12.9840717218912
12,12.9924711251987
12.3,13.0008774539185
12.6,13.0092907076531
12.9,13.0177108860139
13.2,13.0261379886205
13.5,13.0345720151015
13.8,13.0430129650936
14.1,13.0514608382423
14.4,13.0599156342015
14.7,13.0683773526339
15,13.0768459932105
15.3,13.0853215556109
15.6,13.0938040395233
15.9,13.1022934446445
16.2,13.1107897706798
16.5,13.1192930173429
16.8,13.1278031843564
17.1,13.136320271451
17.4,13.1448442783664
17.7,13.1533752048504
18,13.1619130506599
18.3,13.1704578155597
18.6,13.1790094993238
18.9,13.1875681017342
19.2,13.1961336225818
19.5,13.2047060616659
19.8,13.2132854187944
20.1,13.2218716937838
20.4,13.2304648864589
20.7,13.2390649966534
21,13.2476720242094
21.3,13.2562859689775
21.6,13.2649068308168
21.9,13.2735346095951
22.2,13.2821693051887
22.5,13.2908109174825
22.8,13.2994594463697
23.1,13.3081148917524
23.4,13.316777253541
23.7,13.3254465316546
24,13.3341227260207
24.3,13.3428058365756
24.6,13.3514958632638
24.9,13.3601928060386
25.2,13.3688966648618
25.5,13.3776074397037
25.8,13.3863251305432
26.1,13.3950497373678
26.4,13.407063832294
26.7,13.4210599899975
27,13.4351749882507
27.3,13.4494089966245
27.6,13.4637621874316
27.9,13.4782347357272
28.2,13.492826819308
28.5,13.5075386187129
28.8,13.5223703172229
29.1,13.537322100861
29.4,13.5523941583922
29.7,13.5675866813234
30,13.5828998639037
30.3,13.5983339031242
30.6,13.6138889987179
30.9,13.6295653531599
31.2,13.6453631716672
31.5,13.661282662199
31.8,13.6773240354565
32.1,13.6934875048828
32.4,13.709773286663
32.7,13.7261815997244
33,13.7427126657362
33.3,13.7593667091096
33.6,13.7761439569978
33.9,13.7930446392962
34.2,13.810068988642
34.5,13.8272172404145
34.8,13.8444896327351
35.1,13.8618864064671
35.4,13.8794078052159
35.7,13.8970540753288
36,13.9148254658953
36.3,13.9327222287467
36.6,13.9507446184566
36.9,13.9688928923404
37.2,13.9871673104555
37.5,14.0055681356015
37.8,14.0240956333198
38.1,14.042750071894
38.4,14.0615317223498
38.7,14.0988936425451
39,14.1450573917861
39.3,14.1936538032632
39.6,14.2446889173096
39.9,14.2981686805651
40.2,14.3540989459771
40.5,14.4124854728001
40.8,14.4733339265957
41.1,14.5366498792328
41.4,14.6024388088872
41.7,14.6707061000423
42,14.7414570434883
42.3,14.8146968363229
42.6,14.8904305819507
42.9,14.9686632900837
43.2,15.049399876741
43.5,15.1326451642487
43.8,15.2184038812405
44.1,15.3066806626569
44.4,15.3974800497457
44.7,15.563759450969
45,15.7532974962177
45.3,15.9577244225986
45.6,16.1767162294674
45.9,16.4100649950472
46.2,16.6576788764281
46.5,17.1120934089513
46.8,17.5983447486145
47.1,18.1057940685168
47.4,18.6343734646452
47.7,19.1840280793525
48,19.7547161013536
48.3,19.2382896411975
48.6,18.0428023905893
48.9,16.8535688518337
49.2,15.6711635769801
49.5,14.496369243873
49.8,13.3301766561508
50.1,12.199188493909
50.4,11.1358909340785
50.7,10.0929460925093
51,9.07254461268506
51.3,8.07904308119452
51.6,7.11896402773198
51.9,6.20099592509728
52.2,7.27410199712141
52.5,8.53509913531105
52.8,9.77868307926703
53.1,10.9295915955794
53.4,10.0035618061682
53.7,9.0837276086236
54,8.17343003772945
54.3,7.27983641920653
54.6,6.41394036971323
54.9,5.590561796845
55.2,4.847718083803
55.5,4.19990602285837
55.8,3.72722007501661
56.1,3.49329766300362
56.4,3.52467229583258
56.7,3.81077356880412
57,4.30392716350597
57.3,3.57944285916096
57.6,3.6412327426529
57.9,4.19288859466483
58.2,4.51781402801208
58.5,4.01704569410103
58.8,3.70814236649386
59.1,3.64213148862513
59.4,3.83221322711933
59.7,4.25376047179099
60,4.84431883564428
60.3,5.54484123563512
60.6,6.31453765035354
60.9,7.13065939055132
61.2,7.97585208008748
61.5,8.83815565592782
61.8,9.71100436814566
62.1,9.33450074700238
62.4,8.07212878932729
62.7,6.9038475277073
63,5.85191388587327
63.3,6.0426911153499
63.6,6.82153178882092
63.9,7.64711096453725
64.2,8.50825449944585
64.5,9.39696377898456
64.8,10.3084157170822
65.1,11.2407252998842
65.4,12.1810894901969
65.7,13.1221230959103
66,14.0622261424881
66.3,15.0001110586816
66.6,15.9348026765293
66.9,16.8656382313566
67.2,15.6509869120158
67.5,14.3447848221804
67.8,13.0038976197851
68.1,11.8591093122764
68.4,12.7808832379218
68.7,13.7162189083461
69,14.6641044065587
69.3,15.6237053891815
69.6,16.594365086449
69.9,17.5756043022078
70.2,18.5689459269473
70.5,19.5615130671116
70.8,20.549706617421
71.1,21.5332209618455
71.4,22.5117994108524
71.7,23.4852342014066
72,24.4533664969688
72.3,22.5350487382642
72.6,21.2341392671879
72.9,19.9412340427689
73.2,19.5095568640585
73.5,20.5409890636275
73.8,21.5857960771168
74.1,22.643774056474
74.4,23.7147471675599
74.7,24.7985675901483
75,25.8951155179251
75.3,27.0788740748102
75.6,28.2670215351144
75.9,29.4594681397107
76.2,30.6561354519787
76.5,31.8569563578063
76.8,33.0618750655896
77.1,33.194397720462
77.4,32.5096323682042
77.7,31.8694609448665
78,31.2739518209593
78.3,30.7682875242607
78.6,30.3565322992293
78.9,30.0030585657842
79.2,29.7081041333973
79.5,29.5244238394154
79.8,29.3723114879344
80.1,29.226690976602
80.4,29.0875561108202
80.7,28.9549006247126
81,28.8287181811244
81.3,28.7090023716226
81.6,28.5957467164955
81.9,28.4889446647532
82.2,28.3885895941273
82.5,28.2946748110713
82.8,28.2071935507598
83.1,28.1261389770893
83.4,28.0515041826781
83.7,27.9862694542606
84,27.9492436524098
84.3,27.9120513264992
84.6,27.8746822785423
84.9,27.8371269164534
85.2,27.7993762540472
85.5,27.761421911039
85.8,27.7232561130447
86.1,27.6848716915805
86.4,27.6462620840635
86.7,27.6074213338112
87,27.5683440900416
87.3,27.5324659737192
87.6,27.5142386614291
87.9,27.4962427864968
88.2,27.4784777395219
88.5,27.4609429295166
88.8,27.4436377839055
89.1,27.4265617485256
89.4,27.4097142876263
89.7,27.3930948838693
